"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 31 18:26:57 GMT 2024","Thu Oct 31 18:27:05 GMT 2024","7433","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:26:22 GMT 2024","Thu Oct 31 18:26:30 GMT 2024","8067","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"skipped","Thu Oct 31 18:26:50 GMT 2024","Thu Oct 31 18:26:50 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Oct 31 18:28:07 GMT 2024","Thu Oct 31 18:28:21 GMT 2024","13541","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Oct 31 18:26:50 GMT 2024","Thu Oct 31 18:26:57 GMT 2024","7168","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Oct 31 18:26:40 GMT 2024","Thu Oct 31 18:26:45 GMT 2024","4688","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Oct 31 18:27:13 GMT 2024","Thu Oct 31 18:27:21 GMT 2024","7783","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:28:35 GMT 2024","Thu Oct 31 18:28:37 GMT 2024","2746","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Oct 31 18:26:37 GMT 2024","Thu Oct 31 18:26:40 GMT 2024","2446","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 18:27:05 GMT 2024","Thu Oct 31 18:27:13 GMT 2024","8161","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:26:45 GMT 2024","Thu Oct 31 18:26:50 GMT 2024","5434","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Oct 31 18:28:32 GMT 2024","Thu Oct 31 18:28:35 GMT 2024","2773","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Oct 31 18:28:02 GMT 2024","Thu Oct 31 18:28:07 GMT 2024","5370","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Oct 31 18:28:29 GMT 2024","Thu Oct 31 18:28:32 GMT 2024","3056","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Oct 31 18:27:53 GMT 2024","Thu Oct 31 18:28:02 GMT 2024","8841","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Oct 31 18:28:37 GMT 2024","Thu Oct 31 18:28:40 GMT 2024","2816","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Oct 31 18:26:35 GMT 2024","Thu Oct 31 18:26:37 GMT 2024","2812","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 18:27:45 GMT 2024","Thu Oct 31 18:27:53 GMT 2024","7937","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:26:32 GMT 2024","Thu Oct 31 18:26:35 GMT 2024","2973","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 18:27:29 GMT 2024","Thu Oct 31 18:27:37 GMT 2024","8174","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:28:46 GMT 2024","Thu Oct 31 18:28:48 GMT 2024","2814","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Oct 31 18:28:53 GMT 2024","Thu Oct 31 18:28:57 GMT 2024","4779","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Oct 31 18:27:21 GMT 2024","Thu Oct 31 18:27:29 GMT 2024","8089","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Thu Oct 31 18:28:22 GMT 2024","Thu Oct 31 18:28:26 GMT 2024","4533","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
