"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 20:40:51 GMT 2024","Fri Nov 01 20:40:58 GMT 2024","6637","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Fri Nov 01 20:40:23 GMT 2024","Fri Nov 01 20:40:29 GMT 2024","6306","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"skipped","Fri Nov 01 20:41:03 GMT 2024","Fri Nov 01 20:41:03 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Fri Nov 01 20:39:18 GMT 2024","Fri Nov 01 20:39:20 GMT 2024","2736","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:39:23 GMT 2024","Fri Nov 01 20:39:25 GMT 2024","2405","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:39:47 GMT 2024","Fri Nov 01 20:39:54 GMT 2024","6905","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:40:01 GMT 2024","Fri Nov 01 20:40:08 GMT 2024","6822","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:40:08 GMT 2024","Fri Nov 01 20:40:15 GMT 2024","7270","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:39:25 GMT 2024","Fri Nov 01 20:39:29 GMT 2024","3932","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 01 20:39:20 GMT 2024","Fri Nov 01 20:39:23 GMT 2024","2524","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:41:06 GMT 2024","Fri Nov 01 20:41:08 GMT 2024","2250","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Fri Nov 01 20:41:13 GMT 2024","Fri Nov 01 20:41:15 GMT 2024","2340","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 01 20:41:10 GMT 2024","Fri Nov 01 20:41:13 GMT 2024","2662","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Fri Nov 01 20:39:33 GMT 2024","Fri Nov 01 20:39:40 GMT 2024","6786","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Fri Nov 01 20:41:18 GMT 2024","Fri Nov 01 20:41:20 GMT 2024","2560","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Fri Nov 01 20:41:26 GMT 2024","Fri Nov 01 20:41:29 GMT 2024","2539","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Fri Nov 01 20:41:15 GMT 2024","Fri Nov 01 20:41:18 GMT 2024","2327","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Fri Nov 01 20:39:54 GMT 2024","Fri Nov 01 20:40:01 GMT 2024","6750","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:40:58 GMT 2024","Fri Nov 01 20:41:03 GMT 2024","4645","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Fri Nov 01 20:40:29 GMT 2024","Fri Nov 01 20:40:35 GMT 2024","5600","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Fri Nov 01 20:41:03 GMT 2024","Fri Nov 01 20:41:06 GMT 2024","2507","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Fri Nov 01 20:41:23 GMT 2024","Fri Nov 01 20:41:26 GMT 2024","3311","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Fri Nov 01 20:39:14 GMT 2024","Fri Nov 01 20:39:17 GMT 2024","3258","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 01 20:41:08 GMT 2024","Fri Nov 01 20:41:10 GMT 2024","2545","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Fri Nov 01 20:40:35 GMT 2024","Fri Nov 01 20:40:39 GMT 2024","4327","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 01 20:39:29 GMT 2024","Fri Nov 01 20:39:33 GMT 2024","4116","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 01 20:40:39 GMT 2024","Fri Nov 01 20:40:50 GMT 2024","11190","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Fri Nov 01 20:40:15 GMT 2024","Fri Nov 01 20:40:23 GMT 2024","7534","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:39:40 GMT 2024","Fri Nov 01 20:39:47 GMT 2024","7089","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"skipped","Fri Nov 01 20:39:33 GMT 2024","Fri Nov 01 20:39:33 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Fri Nov 01 20:41:20 GMT 2024","Fri Nov 01 20:41:23 GMT 2024","2607","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
