"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 20:44:30 GMT 2024","Fri Nov 01 20:44:37 GMT 2024","6991","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"skipped","Fri Nov 01 20:44:02 GMT 2024","Fri Nov 01 20:44:02 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"broken","Fri Nov 01 20:46:37 GMT 2024","Fri Nov 01 20:47:08 GMT 2024","31200","chromium","","Blog","","","TC_06_01 | Verify search functionality with random characters","To verify that ""No results"" message appears after search with random characters."
"passed","Fri Nov 01 20:47:34 GMT 2024","Fri Nov 01 20:47:37 GMT 2024","3262","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Fri Nov 01 20:45:20 GMT 2024","Fri Nov 01 20:45:32 GMT 2024","11340","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"skipped","Fri Nov 01 20:47:14 GMT 2024","Fri Nov 01 20:47:14 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Fri Nov 01 20:47:19 GMT 2024","Fri Nov 01 20:47:22 GMT 2024","2376","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Fri Nov 01 20:43:51 GMT 2024","Fri Nov 01 20:43:53 GMT 2024","2459","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:45:10 GMT 2024","Fri Nov 01 20:45:15 GMT 2024","5581","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Fri Nov 01 20:47:27 GMT 2024","Fri Nov 01 20:47:29 GMT 2024","2444","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Fri Nov 01 20:43:48 GMT 2024","Fri Nov 01 20:43:51 GMT 2024","2630","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:47:24 GMT 2024","Fri Nov 01 20:47:27 GMT 2024","2381","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 01 20:43:53 GMT 2024","Fri Nov 01 20:43:58 GMT 2024","4650","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 01 20:44:08 GMT 2024","Fri Nov 01 20:44:15 GMT 2024","6768","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:47:32 GMT 2024","Fri Nov 01 20:47:34 GMT 2024","2392","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Fri Nov 01 20:44:37 GMT 2024","Fri Nov 01 20:44:45 GMT 2024","7553","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:44:02 GMT 2024","Fri Nov 01 20:44:08 GMT 2024","6111","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Fri Nov 01 20:43:37 GMT 2024","Fri Nov 01 20:43:40 GMT 2024","2955","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 01 20:43:41 GMT 2024","Fri Nov 01 20:43:48 GMT 2024","7041","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
