"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 20:44:09 GMT 2024","Fri Nov 01 20:44:13 GMT 2024","4608","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 01 20:45:46 GMT 2024","Fri Nov 01 20:45:53 GMT 2024","7265","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Fri Nov 01 20:44:32 GMT 2024","Fri Nov 01 20:44:40 GMT 2024","7665","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:45:54 GMT 2024","Fri Nov 01 20:45:59 GMT 2024","4598","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Fri Nov 01 20:44:13 GMT 2024","Fri Nov 01 20:44:17 GMT 2024","4103","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 01 20:45:22 GMT 2024","Fri Nov 01 20:45:28 GMT 2024","5482","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Fri Nov 01 20:45:28 GMT 2024","Fri Nov 01 20:45:33 GMT 2024","5099","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 01 20:44:04 GMT 2024","Fri Nov 01 20:44:07 GMT 2024","2456","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:44:02 GMT 2024","Fri Nov 01 20:44:04 GMT 2024","2440","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:46:19 GMT 2024","Fri Nov 01 20:46:23 GMT 2024","4261","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Fri Nov 01 20:46:17 GMT 2024","Fri Nov 01 20:46:19 GMT 2024","2449","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Fri Nov 01 20:45:02 GMT 2024","Fri Nov 01 20:45:10 GMT 2024","7718","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:46:09 GMT 2024","Fri Nov 01 20:46:12 GMT 2024","2366","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 01 20:46:04 GMT 2024","Fri Nov 01 20:46:07 GMT 2024","2623","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Fri Nov 01 20:44:07 GMT 2024","Fri Nov 01 20:44:09 GMT 2024","2045","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 20:45:10 GMT 2024","Fri Nov 01 20:45:22 GMT 2024","12340","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:44:17 GMT 2024","Fri Nov 01 20:44:24 GMT 2024","6826","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Fri Nov 01 20:44:40 GMT 2024","Fri Nov 01 20:44:47 GMT 2024","7260","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:44:47 GMT 2024","Fri Nov 01 20:44:55 GMT 2024","7625","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 20:46:02 GMT 2024","Fri Nov 01 20:46:04 GMT 2024","2286","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Fri Nov 01 20:44:55 GMT 2024","Fri Nov 01 20:45:02 GMT 2024","7562","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
