"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 22:08:53 GMT 2024","Fri Nov 01 22:08:59 GMT 2024","6009","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:08:39 GMT 2024","Fri Nov 01 22:08:46 GMT 2024","6778","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:08:13 GMT 2024","Fri Nov 01 22:08:20 GMT 2024","6506","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"skipped","Fri Nov 01 22:11:11 GMT 2024","Fri Nov 01 22:11:11 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Fri Nov 01 22:11:28 GMT 2024","Fri Nov 01 22:11:30 GMT 2024","2214","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Fri Nov 01 22:07:55 GMT 2024","Fri Nov 01 22:07:58 GMT 2024","2925","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 01 22:11:14 GMT 2024","Fri Nov 01 22:11:16 GMT 2024","2191","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Fri Nov 01 22:11:06 GMT 2024","Fri Nov 01 22:11:11 GMT 2024","5007","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Fri Nov 01 22:08:59 GMT 2024","Fri Nov 01 22:09:05 GMT 2024","6603","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:07:58 GMT 2024","Fri Nov 01 22:08:00 GMT 2024","2488","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 22:11:34 GMT 2024","Fri Nov 01 22:11:39 GMT 2024","4584","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Fri Nov 01 22:08:26 GMT 2024","Fri Nov 01 22:08:33 GMT 2024","7093","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:09:05 GMT 2024","Fri Nov 01 22:09:13 GMT 2024","8138","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Fri Nov 01 22:08:33 GMT 2024","Fri Nov 01 22:08:39 GMT 2024","6266","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:08:20 GMT 2024","Fri Nov 01 22:08:26 GMT 2024","6232","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:08:46 GMT 2024","Fri Nov 01 22:08:53 GMT 2024","6453","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Fri Nov 01 22:08:05 GMT 2024","Fri Nov 01 22:08:09 GMT 2024","3934","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 01 22:08:03 GMT 2024","Fri Nov 01 22:08:05 GMT 2024","2412","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 22:11:21 GMT 2024","Fri Nov 01 22:11:23 GMT 2024","2242","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 01 22:11:25 GMT 2024","Fri Nov 01 22:11:28 GMT 2024","2354","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Fri Nov 01 22:11:23 GMT 2024","Fri Nov 01 22:11:25 GMT 2024","2290","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"broken","Fri Nov 01 22:10:34 GMT 2024","Fri Nov 01 22:11:05 GMT 2024","31205","chromium","","Blog","","","TC_06_01 | Verify search functionality with random characters","To verify that ""No results"" message appears after search with random characters."
"passed","Fri Nov 01 22:08:09 GMT 2024","Fri Nov 01 22:08:13 GMT 2024","3925","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 01 22:09:18 GMT 2024","Fri Nov 01 22:09:29 GMT 2024","10901","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"skipped","Fri Nov 01 22:08:13 GMT 2024","Fri Nov 01 22:08:13 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Fri Nov 01 22:11:30 GMT 2024","Fri Nov 01 22:11:34 GMT 2024","4390","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Fri Nov 01 22:09:13 GMT 2024","Fri Nov 01 22:09:18 GMT 2024","4717","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Fri Nov 01 22:11:18 GMT 2024","Fri Nov 01 22:11:21 GMT 2024","2600","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Fri Nov 01 22:11:11 GMT 2024","Fri Nov 01 22:11:14 GMT 2024","2622","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Fri Nov 01 22:08:00 GMT 2024","Fri Nov 01 22:08:03 GMT 2024","2426","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 01 22:11:16 GMT 2024","Fri Nov 01 22:11:18 GMT 2024","2446","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
