"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 04 00:01:25 GMT 2024","Mon Nov 04 00:01:33 GMT 2024","7118","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"skipped","Sun Nov 03 23:59:42 GMT 2024","Sun Nov 03 23:59:42 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Sun Nov 03 23:59:33 GMT 2024","Sun Nov 03 23:59:38 GMT 2024","4662","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sun Nov 03 23:59:30 GMT 2024","Sun Nov 03 23:59:33 GMT 2024","2642","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 04 00:01:51 GMT 2024","Mon Nov 04 00:01:54 GMT 2024","2663","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Sun Nov 03 23:59:49 GMT 2024","Sun Nov 03 23:59:54 GMT 2024","5959","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Mon Nov 04 00:01:57 GMT 2024","Mon Nov 04 00:01:59 GMT 2024","2670","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Nov 04 00:01:33 GMT 2024","Mon Nov 04 00:01:38 GMT 2024","4282","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"skipped","Mon Nov 04 00:01:38 GMT 2024","Mon Nov 04 00:01:38 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Nov 04 00:00:24 GMT 2024","Mon Nov 04 00:00:31 GMT 2024","7422","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Mon Nov 04 00:01:59 GMT 2024","Mon Nov 04 00:02:02 GMT 2024","2433","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Nov 04 00:02:05 GMT 2024","Mon Nov 04 00:02:09 GMT 2024","4437","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
