"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 04 03:56:24 GMT 2024","Mon Nov 04 03:56:24 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Nov 04 03:54:19 GMT 2024","Mon Nov 04 03:54:22 GMT 2024","2571","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 04 03:54:27 GMT 2024","Mon Nov 04 03:54:32 GMT 2024","5425","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Mon Nov 04 03:55:20 GMT 2024","Mon Nov 04 03:55:27 GMT 2024","7081","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Mon Nov 04 03:54:05 GMT 2024","Mon Nov 04 03:54:13 GMT 2024","8034","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Nov 04 03:56:40 GMT 2024","Mon Nov 04 03:56:42 GMT 2024","2623","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Mon Nov 04 03:56:48 GMT 2024","Mon Nov 04 03:56:50 GMT 2024","2462","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Nov 04 03:54:17 GMT 2024","Mon Nov 04 03:54:19 GMT 2024","2545","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 04 03:57:01 GMT 2024","Mon Nov 04 03:57:05 GMT 2024","4225","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Mon Nov 04 03:56:05 GMT 2024","Mon Nov 04 03:56:12 GMT 2024","6696","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Mon Nov 04 03:56:53 GMT 2024","Mon Nov 04 03:56:55 GMT 2024","2451","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Mon Nov 04 03:55:13 GMT 2024","Mon Nov 04 03:55:20 GMT 2024","7404","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Mon Nov 04 03:55:51 GMT 2024","Mon Nov 04 03:56:04 GMT 2024","12814","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Mon Nov 04 03:54:22 GMT 2024","Mon Nov 04 03:54:27 GMT 2024","4620","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Mon Nov 04 03:56:50 GMT 2024","Mon Nov 04 03:56:53 GMT 2024","2461","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Nov 04 03:56:55 GMT 2024","Mon Nov 04 03:57:01 GMT 2024","5329","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Mon Nov 04 03:54:53 GMT 2024","Mon Nov 04 03:55:05 GMT 2024","11694","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Mon Nov 04 03:55:27 GMT 2024","Mon Nov 04 03:55:35 GMT 2024","7184","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
