"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 14:30:32 GMT 2024","Tue Nov 05 14:30:40 GMT 2024","8041","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 14:32:04 GMT 2024","Tue Nov 05 14:32:06 GMT 2024","2595","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 14:31:48 GMT 2024","Tue Nov 05 14:31:53 GMT 2024","4695","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 05 14:32:09 GMT 2024","Tue Nov 05 14:32:11 GMT 2024","2599","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 14:29:21 GMT 2024","Tue Nov 05 14:29:26 GMT 2024","4698","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 14:32:14 GMT 2024","Tue Nov 05 14:32:20 GMT 2024","5273","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 14:31:58 GMT 2024","Tue Nov 05 14:32:01 GMT 2024","2761","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 14:31:53 GMT 2024","Tue Nov 05 14:31:56 GMT 2024","2682","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 14:29:16 GMT 2024","Tue Nov 05 14:29:19 GMT 2024","2933","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 14:29:31 GMT 2024","Tue Nov 05 14:29:38 GMT 2024","7124","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 14:31:40 GMT 2024","Tue Nov 05 14:31:48 GMT 2024","7750","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"skipped","Tue Nov 05 14:29:31 GMT 2024","Tue Nov 05 14:29:31 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
