"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 18:14:17 GMT 2024","Tue Nov 05 18:14:25 GMT 2024","7941","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:12:40 GMT 2024","Tue Nov 05 18:12:44 GMT 2024","4517","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:14:25 GMT 2024","Tue Nov 05 18:14:32 GMT 2024","6372","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:13:15 GMT 2024","Tue Nov 05 18:13:19 GMT 2024","4298","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:14:38 GMT 2024","Tue Nov 05 18:14:44 GMT 2024","6244","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:12:19 GMT 2024","Tue Nov 05 18:12:22 GMT 2024","2751","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 18:15:42 GMT 2024","Tue Nov 05 18:15:46 GMT 2024","3814","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Nov 05 18:15:36 GMT 2024","Tue Nov 05 18:15:42 GMT 2024","6081","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Tue Nov 05 18:12:35 GMT 2024","Tue Nov 05 18:12:40 GMT 2024","4488","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:13:27 GMT 2024","Tue Nov 05 18:13:30 GMT 2024","2840","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:16:11 GMT 2024","Tue Nov 05 18:16:14 GMT 2024","2688","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
