"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 17:38:45 GMT 2024","Tue Nov 05 17:38:56 GMT 2024","11411","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 05 17:36:51 GMT 2024","Tue Nov 05 17:36:55 GMT 2024","4296","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:36:24 GMT 2024","Tue Nov 05 17:36:28 GMT 2024","4285","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 17:42:05 GMT 2024","Tue Nov 05 17:42:12 GMT 2024","6177","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 05 17:37:29 GMT 2024","Tue Nov 05 17:37:35 GMT 2024","5783","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 17:36:17 GMT 2024","Tue Nov 05 17:36:19 GMT 2024","2215","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 17:42:58 GMT 2024","Tue Nov 05 17:43:01 GMT 2024","2424","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 17:42:53 GMT 2024","Tue Nov 05 17:42:56 GMT 2024","2795","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 17:39:05 GMT 2024","Tue Nov 05 17:39:12 GMT 2024","6319","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Tue Nov 05 17:36:42 GMT 2024","Tue Nov 05 17:36:46 GMT 2024","4280","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:38:40 GMT 2024","Tue Nov 05 17:38:45 GMT 2024","4884","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 17:36:33 GMT 2024","Tue Nov 05 17:36:37 GMT 2024","4366","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:36:55 GMT 2024","Tue Nov 05 17:37:00 GMT 2024","4912","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:37:16 GMT 2024","Tue Nov 05 17:37:21 GMT 2024","4271","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"broken","Tue Nov 05 17:40:29 GMT 2024","Tue Nov 05 17:41:32 GMT 2024","63223","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 17:37:21 GMT 2024","Tue Nov 05 17:37:25 GMT 2024","3906","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Tue Nov 05 17:42:48 GMT 2024","Tue Nov 05 17:42:50 GMT 2024","2416","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 17:42:50 GMT 2024","Tue Nov 05 17:42:53 GMT 2024","2613","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 17:37:12 GMT 2024","Tue Nov 05 17:37:16 GMT 2024","4116","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"skipped","Tue Nov 05 17:42:05 GMT 2024","Tue Nov 05 17:42:05 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 17:37:41 GMT 2024","Tue Nov 05 17:37:46 GMT 2024","5532","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"skipped","Tue Nov 05 17:36:33 GMT 2024","Tue Nov 05 17:36:33 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Nov 05 17:37:08 GMT 2024","Tue Nov 05 17:37:12 GMT 2024","4654","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Nov 05 17:43:01 GMT 2024","Tue Nov 05 17:43:03 GMT 2024","2305","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 17:37:04 GMT 2024","Tue Nov 05 17:37:08 GMT 2024","3687","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
