"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 18:18:06 GMT 2024","Tue Nov 05 18:18:13 GMT 2024","6426","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Tue Nov 05 18:19:16 GMT 2024","Tue Nov 05 18:19:22 GMT 2024","6447","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:18:54 GMT 2024","Tue Nov 05 18:19:02 GMT 2024","7539","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:21:20 GMT 2024","Tue Nov 05 18:21:25 GMT 2024","4916","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"skipped","Tue Nov 05 18:21:14 GMT 2024","Tue Nov 05 18:21:14 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 18:21:25 GMT 2024","Tue Nov 05 18:21:30 GMT 2024","4590","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Tue Nov 05 18:18:25 GMT 2024","Tue Nov 05 18:18:32 GMT 2024","6581","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:17:27 GMT 2024","Tue Nov 05 18:17:32 GMT 2024","4588","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:16:56 GMT 2024","Tue Nov 05 18:16:59 GMT 2024","2528","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 18:19:31 GMT 2024","Tue Nov 05 18:19:43 GMT 2024","11260","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 05 18:19:44 GMT 2024","Tue Nov 05 18:19:50 GMT 2024","6390","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 05 18:19:02 GMT 2024","Tue Nov 05 18:19:09 GMT 2024","7037","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:19:09 GMT 2024","Tue Nov 05 18:19:16 GMT 2024","6926","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:17:49 GMT 2024","Tue Nov 05 18:17:52 GMT 2024","2926","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:21:48 GMT 2024","Tue Nov 05 18:21:50 GMT 2024","2466","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 18:19:22 GMT 2024","Tue Nov 05 18:19:27 GMT 2024","4684","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Nov 05 18:18:00 GMT 2024","Tue Nov 05 18:18:06 GMT 2024","6146","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 18:17:41 GMT 2024","Tue Nov 05 18:17:46 GMT 2024","4271","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:18:19 GMT 2024","Tue Nov 05 18:18:25 GMT 2024","6736","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:21:38 GMT 2024","Tue Nov 05 18:21:40 GMT 2024","2470","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 18:21:01 GMT 2024","Tue Nov 05 18:21:09 GMT 2024","7260","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 18:21:30 GMT 2024","Tue Nov 05 18:21:33 GMT 2024","2991","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 18:17:36 GMT 2024","Tue Nov 05 18:17:41 GMT 2024","4984","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:21:14 GMT 2024","Tue Nov 05 18:21:20 GMT 2024","6204","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 05 18:17:32 GMT 2024","Tue Nov 05 18:17:36 GMT 2024","4680","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:21:09 GMT 2024","Tue Nov 05 18:21:14 GMT 2024","4898","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Nov 05 18:16:59 GMT 2024","Tue Nov 05 18:17:03 GMT 2024","4119","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 18:17:46 GMT 2024","Tue Nov 05 18:17:49 GMT 2024","3785","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:17:03 GMT 2024","Tue Nov 05 18:17:07 GMT 2024","3962","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Tue Nov 05 18:19:27 GMT 2024","Tue Nov 05 18:19:31 GMT 2024","4260","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 18:21:56 GMT 2024","Tue Nov 05 18:22:00 GMT 2024","4096","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 05 18:16:50 GMT 2024","Tue Nov 05 18:16:53 GMT 2024","3012","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"skipped","Tue Nov 05 18:21:30 GMT 2024","Tue Nov 05 18:21:30 GMT 2024","1","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Tue Nov 05 18:21:50 GMT 2024","Tue Nov 05 18:21:56 GMT 2024","5129","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 18:18:45 GMT 2024","Tue Nov 05 18:18:54 GMT 2024","8335","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Nov 05 18:16:47 GMT 2024","Tue Nov 05 18:16:50 GMT 2024","2633","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Tue Nov 05 18:16:53 GMT 2024","Tue Nov 05 18:16:56 GMT 2024","2784","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 18:21:40 GMT 2024","Tue Nov 05 18:21:43 GMT 2024","2320","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 18:21:35 GMT 2024","Tue Nov 05 18:21:38 GMT 2024","2632","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 18:21:45 GMT 2024","Tue Nov 05 18:21:48 GMT 2024","2931","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"skipped","Tue Nov 05 18:17:07 GMT 2024","Tue Nov 05 18:17:07 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Nov 05 18:17:21 GMT 2024","Tue Nov 05 18:17:27 GMT 2024","5192","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:21:43 GMT 2024","Tue Nov 05 18:21:45 GMT 2024","2450","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 18:17:07 GMT 2024","Tue Nov 05 18:17:11 GMT 2024","4540","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:17:56 GMT 2024","Tue Nov 05 18:18:00 GMT 2024","3915","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:17:52 GMT 2024","Tue Nov 05 18:17:56 GMT 2024","3959","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Nov 05 18:18:13 GMT 2024","Tue Nov 05 18:18:19 GMT 2024","5797","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
