"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 21:58:27 GMT 2024","Tue Nov 05 21:58:35 GMT 2024","7988","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Tue Nov 05 21:59:44 GMT 2024","Tue Nov 05 21:59:50 GMT 2024","6502","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Tue Nov 05 21:56:26 GMT 2024","Tue Nov 05 21:56:29 GMT 2024","2941","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 21:57:54 GMT 2024","Tue Nov 05 21:58:02 GMT 2024","7644","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Tue Nov 05 21:57:00 GMT 2024","Tue Nov 05 21:57:06 GMT 2024","5303","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Nov 05 22:00:23 GMT 2024","Tue Nov 05 22:00:25 GMT 2024","2899","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 22:00:25 GMT 2024","Tue Nov 05 22:00:28 GMT 2024","2763","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 22:00:31 GMT 2024","Tue Nov 05 22:00:35 GMT 2024","4312","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 21:57:11 GMT 2024","Tue Nov 05 21:57:16 GMT 2024","5201","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:59:50 GMT 2024","Tue Nov 05 21:59:56 GMT 2024","5112","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Nov 05 21:57:06 GMT 2024","Tue Nov 05 21:57:11 GMT 2024","5355","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:56:32 GMT 2024","Tue Nov 05 21:56:34 GMT 2024","2786","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 22:00:17 GMT 2024","Tue Nov 05 22:00:20 GMT 2024","2987","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 22:00:20 GMT 2024","Tue Nov 05 22:00:23 GMT 2024","2793","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 21:59:27 GMT 2024","Tue Nov 05 21:59:36 GMT 2024","8496","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Tue Nov 05 21:57:16 GMT 2024","Tue Nov 05 21:57:21 GMT 2024","4643","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:57:24 GMT 2024","Tue Nov 05 21:57:29 GMT 2024","4975","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:59:56 GMT 2024","Tue Nov 05 22:00:03 GMT 2024","7419","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Tue Nov 05 21:59:20 GMT 2024","Tue Nov 05 21:59:27 GMT 2024","7125","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 05 22:00:28 GMT 2024","Tue Nov 05 22:00:31 GMT 2024","2655","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 21:58:19 GMT 2024","Tue Nov 05 21:58:27 GMT 2024","7942","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 21:56:23 GMT 2024","Tue Nov 05 21:56:26 GMT 2024","3106","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Tue Nov 05 21:56:29 GMT 2024","Tue Nov 05 21:56:32 GMT 2024","2629","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 21:56:55 GMT 2024","Tue Nov 05 21:57:00 GMT 2024","5235","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:56:34 GMT 2024","Tue Nov 05 21:56:39 GMT 2024","5109","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Tue Nov 05 21:58:02 GMT 2024","Tue Nov 05 21:58:10 GMT 2024","8213","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Nov 05 21:59:04 GMT 2024","Tue Nov 05 21:59:18 GMT 2024","13662","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Tue Nov 05 22:00:14 GMT 2024","Tue Nov 05 22:00:17 GMT 2024","2908","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 21:57:41 GMT 2024","Tue Nov 05 21:57:48 GMT 2024","6885","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"skipped","Tue Nov 05 21:56:44 GMT 2024","Tue Nov 05 21:56:44 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Tue Nov 05 21:58:10 GMT 2024","Tue Nov 05 21:58:19 GMT 2024","8287","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Nov 05 22:00:03 GMT 2024","Tue Nov 05 22:00:08 GMT 2024","5480","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 05 21:57:48 GMT 2024","Tue Nov 05 21:57:54 GMT 2024","6500","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Tue Nov 05 21:57:21 GMT 2024","Tue Nov 05 21:57:24 GMT 2024","3326","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:57:34 GMT 2024","Tue Nov 05 21:57:41 GMT 2024","6996","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 22:00:11 GMT 2024","Tue Nov 05 22:00:14 GMT 2024","2579","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Tue Nov 05 21:58:59 GMT 2024","Tue Nov 05 21:59:04 GMT 2024","5542","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Tue Nov 05 21:56:44 GMT 2024","Tue Nov 05 21:56:50 GMT 2024","5598","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:58:42 GMT 2024","Tue Nov 05 21:58:50 GMT 2024","7793","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 05 22:00:35 GMT 2024","Tue Nov 05 22:00:40 GMT 2024","4445","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"skipped","Tue Nov 05 21:59:56 GMT 2024","Tue Nov 05 21:59:56 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 21:56:50 GMT 2024","Tue Nov 05 21:56:55 GMT 2024","5176","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Nov 05 21:56:39 GMT 2024","Tue Nov 05 21:56:44 GMT 2024","4951","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Tue Nov 05 21:59:36 GMT 2024","Tue Nov 05 21:59:44 GMT 2024","7599","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 21:58:50 GMT 2024","Tue Nov 05 21:58:59 GMT 2024","8790","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Nov 05 21:57:29 GMT 2024","Tue Nov 05 21:57:34 GMT 2024","4686","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Tue Nov 05 22:00:08 GMT 2024","Tue Nov 05 22:00:11 GMT 2024","2723","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 21:58:35 GMT 2024","Tue Nov 05 21:58:42 GMT 2024","7535","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
