"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 05 23:22:37 GMT 2024","Tue Nov 05 23:22:37 GMT 2024","1","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader",""
"passed","Tue Nov 05 23:26:13 GMT 2024","Tue Nov 05 23:26:16 GMT 2024","2905","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Tue Nov 05 23:23:48 GMT 2024","Tue Nov 05 23:23:55 GMT 2024","7754","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:23:23 GMT 2024","Tue Nov 05 23:23:32 GMT 2024","8625","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:22:25 GMT 2024","Tue Nov 05 23:22:30 GMT 2024","5235","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"failed","Tue Nov 05 23:25:15 GMT 2024","Tue Nov 05 23:25:25 GMT 2024","10026","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"passed","Tue Nov 05 23:24:04 GMT 2024","Tue Nov 05 23:24:09 GMT 2024","5226","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates",""
"passed","Tue Nov 05 23:26:29 GMT 2024","Tue Nov 05 23:26:33 GMT 2024","4389","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Tue Nov 05 23:22:17 GMT 2024","Tue Nov 05 23:22:20 GMT 2024","2765","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 23:24:23 GMT 2024","Tue Nov 05 23:24:31 GMT 2024","7193","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Tue Nov 05 23:25:26 GMT 2024","Tue Nov 05 23:25:34 GMT 2024","7528","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"passed","Tue Nov 05 23:26:33 GMT 2024","Tue Nov 05 23:26:37 GMT 2024","3460","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Nov 05 23:23:07 GMT 2024","Tue Nov 05 23:23:15 GMT 2024","7975","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:24:31 GMT 2024","Tue Nov 05 23:24:39 GMT 2024","8087","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"skipped","Tue Nov 05 23:25:26 GMT 2024","Tue Nov 05 23:25:26 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Nov 05 23:22:52 GMT 2024","Tue Nov 05 23:22:59 GMT 2024","7155","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"failed","Tue Nov 05 23:25:56 GMT 2024","Tue Nov 05 23:26:06 GMT 2024","10328","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Nov 05 23:26:10 GMT 2024","Tue Nov 05 23:26:13 GMT 2024","2869","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"passed","Tue Nov 05 23:23:55 GMT 2024","Tue Nov 05 23:24:04 GMT 2024","8229","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Nov 05 23:22:39 GMT 2024","Tue Nov 05 23:22:45 GMT 2024","6897","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Tue Nov 05 23:22:46 GMT 2024","Tue Nov 05 23:22:52 GMT 2024","6583","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Tue Nov 05 23:24:40 GMT 2024","Tue Nov 05 23:24:47 GMT 2024","7016","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Tue Nov 05 23:24:09 GMT 2024","Tue Nov 05 23:24:22 GMT 2024","13131","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS",""
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"passed","Tue Nov 05 23:22:20 GMT 2024","Tue Nov 05 23:22:22 GMT 2024","2560","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"passed","Tue Nov 05 23:26:07 GMT 2024","Tue Nov 05 23:26:10 GMT 2024","2825","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Tue Nov 05 23:26:19 GMT 2024","Tue Nov 05 23:26:21 GMT 2024","2299","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Nov 05 23:22:09 GMT 2024","Tue Nov 05 23:22:17 GMT 2024","8100","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer",""
"passed","Tue Nov 05 23:23:40 GMT 2024","Tue Nov 05 23:23:48 GMT 2024","7692","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:26:24 GMT 2024","Tue Nov 05 23:26:26 GMT 2024","2672","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Tue Nov 05 23:26:21 GMT 2024","Tue Nov 05 23:26:24 GMT 2024","2625","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Tue Nov 05 23:22:30 GMT 2024","Tue Nov 05 23:22:36 GMT 2024","5898","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"skipped","Tue Nov 05 23:22:36 GMT 2024","Tue Nov 05 23:22:36 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home",""
"passed","Tue Nov 05 23:23:15 GMT 2024","Tue Nov 05 23:23:23 GMT 2024","8188","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:26:26 GMT 2024","Tue Nov 05 23:26:29 GMT 2024","2596","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Tue Nov 05 23:22:22 GMT 2024","Tue Nov 05 23:22:25 GMT 2024","2649","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Tue Nov 05 23:22:59 GMT 2024","Tue Nov 05 23:23:07 GMT 2024","7584","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Tue Nov 05 23:24:47 GMT 2024","Tue Nov 05 23:24:53 GMT 2024","6480","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"skipped","Tue Nov 05 23:22:38 GMT 2024","Tue Nov 05 23:22:38 GMT 2024","0","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting",""
"passed","Tue Nov 05 23:26:16 GMT 2024","Tue Nov 05 23:26:19 GMT 2024","2744","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Tue Nov 05 23:23:32 GMT 2024","Tue Nov 05 23:23:40 GMT 2024","8252","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
