"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 06 05:32:38 GMT 2024","Wed Nov 06 05:32:38 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"skipped","Wed Nov 06 05:32:22 GMT 2024","Wed Nov 06 05:32:22 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Nov 06 05:28:01 GMT 2024","Wed Nov 06 05:28:06 GMT 2024","5054","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:30:33 GMT 2024","Wed Nov 06 05:30:41 GMT 2024","8123","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:33:06 GMT 2024","Wed Nov 06 05:33:09 GMT 2024","3385","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Nov 06 05:29:31 GMT 2024","Wed Nov 06 05:29:38 GMT 2024","7655","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Wed Nov 06 05:32:52 GMT 2024","Wed Nov 06 05:32:55 GMT 2024","2602","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Nov 06 05:29:46 GMT 2024","Wed Nov 06 05:29:54 GMT 2024","7841","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Wed Nov 06 05:28:22 GMT 2024","Wed Nov 06 05:28:27 GMT 2024","5090","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:27:32 GMT 2024","Wed Nov 06 05:27:36 GMT 2024","3885","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 06 05:30:50 GMT 2024","Wed Nov 06 05:30:58 GMT 2024","8541","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 06 05:29:06 GMT 2024","Wed Nov 06 05:29:11 GMT 2024","4965","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Nov 06 05:29:38 GMT 2024","Wed Nov 06 05:29:46 GMT 2024","7801","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"skipped","Wed Nov 06 05:27:55 GMT 2024","Wed Nov 06 05:27:55 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Wed Nov 06 05:28:31 GMT 2024","Wed Nov 06 05:28:34 GMT 2024","3162","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Nov 06 05:27:49 GMT 2024","Wed Nov 06 05:27:55 GMT 2024","5645","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Nov 06 05:27:44 GMT 2024","Wed Nov 06 05:27:49 GMT 2024","5022","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 06 05:32:22 GMT 2024","Wed Nov 06 05:32:29 GMT 2024","7201","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
