"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 01:20:33 GMT 2024","Thu Nov 07 01:20:37 GMT 2024","3951","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Nov 07 01:27:47 GMT 2024","Thu Nov 07 01:27:52 GMT 2024","4942","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"broken","Thu Nov 07 01:26:25 GMT 2024","Thu Nov 07 01:27:28 GMT 2024","63180","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Thu Nov 07 01:22:42 GMT 2024","Thu Nov 07 01:22:49 GMT 2024","7259","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:28:22 GMT 2024","Thu Nov 07 01:28:25 GMT 2024","2920","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Nov 07 01:22:35 GMT 2024","Thu Nov 07 01:22:42 GMT 2024","6826","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:20:51 GMT 2024","Thu Nov 07 01:20:56 GMT 2024","4459","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:22:56 GMT 2024","Thu Nov 07 01:23:03 GMT 2024","6956","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:21:51 GMT 2024","Thu Nov 07 01:21:56 GMT 2024","5917","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"skipped","Thu Nov 07 01:20:42 GMT 2024","Thu Nov 07 01:20:42 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Nov 07 01:21:09 GMT 2024","Thu Nov 07 01:21:14 GMT 2024","4287","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:20:56 GMT 2024","Thu Nov 07 01:21:00 GMT 2024","4781","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:28:07 GMT 2024","Thu Nov 07 01:28:10 GMT 2024","2557","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Nov 07 01:24:11 GMT 2024","Thu Nov 07 01:24:17 GMT 2024","6078","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Thu Nov 07 01:22:49 GMT 2024","Thu Nov 07 01:22:56 GMT 2024","7170","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:23:30 GMT 2024","Thu Nov 07 01:23:37 GMT 2024","6374","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Thu Nov 07 01:27:57 GMT 2024","Thu Nov 07 01:27:57 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Thu Nov 07 01:28:02 GMT 2024","Thu Nov 07 01:28:05 GMT 2024","2436","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Thu Nov 07 01:21:17 GMT 2024","Thu Nov 07 01:21:21 GMT 2024","4356","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:20:47 GMT 2024","Thu Nov 07 01:20:51 GMT 2024","4373","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:21:25 GMT 2024","Thu Nov 07 01:21:29 GMT 2024","4332","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 07 01:21:46 GMT 2024","Thu Nov 07 01:21:51 GMT 2024","4186","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 07 01:23:03 GMT 2024","Thu Nov 07 01:23:10 GMT 2024","7050","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:21:33 GMT 2024","Thu Nov 07 01:21:38 GMT 2024","4919","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Thu Nov 07 01:27:36 GMT 2024","Thu Nov 07 01:27:41 GMT 2024","4574","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Thu Nov 07 01:22:21 GMT 2024","Thu Nov 07 01:22:28 GMT 2024","6670","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:21:14 GMT 2024","Thu Nov 07 01:21:17 GMT 2024","2832","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:21:38 GMT 2024","Thu Nov 07 01:21:46 GMT 2024","8155","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Nov 07 01:27:52 GMT 2024","Thu Nov 07 01:27:57 GMT 2024","5375","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Thu Nov 07 01:21:56 GMT 2024","Thu Nov 07 01:22:03 GMT 2024","6106","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Thu Nov 07 01:23:37 GMT 2024","Thu Nov 07 01:23:44 GMT 2024","7091","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:28:15 GMT 2024","Thu Nov 07 01:28:17 GMT 2024","2326","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Nov 07 01:28:05 GMT 2024","Thu Nov 07 01:28:07 GMT 2024","2466","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 07 01:21:05 GMT 2024","Thu Nov 07 01:21:09 GMT 2024","4535","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:27:29 GMT 2024","Thu Nov 07 01:27:36 GMT 2024","7230","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Thu Nov 07 01:23:24 GMT 2024","Thu Nov 07 01:23:30 GMT 2024","6510","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:23:17 GMT 2024","Thu Nov 07 01:23:24 GMT 2024","6857","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:20:37 GMT 2024","Thu Nov 07 01:20:42 GMT 2024","4652","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Nov 07 01:27:41 GMT 2024","Thu Nov 07 01:27:47 GMT 2024","6155","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 07 01:22:03 GMT 2024","Thu Nov 07 01:22:08 GMT 2024","5793","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 07 01:21:01 GMT 2024","Thu Nov 07 01:21:05 GMT 2024","4403","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:22:08 GMT 2024","Thu Nov 07 01:22:15 GMT 2024","6362","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:28:00 GMT 2024","Thu Nov 07 01:28:02 GMT 2024","2448","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Thu Nov 07 01:27:41 GMT 2024","Thu Nov 07 01:27:41 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 07 01:21:21 GMT 2024","Thu Nov 07 01:21:25 GMT 2024","3926","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:20:42 GMT 2024","Thu Nov 07 01:20:47 GMT 2024","4770","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Thu Nov 07 01:27:57 GMT 2024","Thu Nov 07 01:28:00 GMT 2024","2563","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Nov 07 01:24:03 GMT 2024","Thu Nov 07 01:24:10 GMT 2024","6574","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Thu Nov 07 01:22:28 GMT 2024","Thu Nov 07 01:22:35 GMT 2024","7009","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:20:23 GMT 2024","Thu Nov 07 01:20:26 GMT 2024","3486","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Nov 07 01:23:57 GMT 2024","Thu Nov 07 01:24:03 GMT 2024","5980","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 07 01:28:17 GMT 2024","Thu Nov 07 01:28:22 GMT 2024","5118","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Nov 07 01:20:31 GMT 2024","Thu Nov 07 01:20:33 GMT 2024","2252","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 01:28:10 GMT 2024","Thu Nov 07 01:28:12 GMT 2024","2526","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Nov 07 01:20:26 GMT 2024","Thu Nov 07 01:20:29 GMT 2024","2495","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 01:23:44 GMT 2024","Thu Nov 07 01:23:56 GMT 2024","12377","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Nov 07 01:21:29 GMT 2024","Thu Nov 07 01:21:33 GMT 2024","3962","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Thu Nov 07 01:28:12 GMT 2024","Thu Nov 07 01:28:15 GMT 2024","2387","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Nov 07 01:22:15 GMT 2024","Thu Nov 07 01:22:21 GMT 2024","6735","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Nov 07 01:23:10 GMT 2024","Thu Nov 07 01:23:17 GMT 2024","6498","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 01:20:29 GMT 2024","Thu Nov 07 01:20:31 GMT 2024","2467","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
