"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 07 04:24:57 GMT 2024","Thu Nov 07 04:24:57 GMT 2024","0","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center",""
"passed","Thu Nov 07 04:20:01 GMT 2024","Thu Nov 07 04:20:08 GMT 2024","6555","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"skipped","Thu Nov 07 04:24:57 GMT 2024","Thu Nov 07 04:24:57 GMT 2024","0","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
"passed","Thu Nov 07 04:19:15 GMT 2024","Thu Nov 07 04:19:20 GMT 2024","4438","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:25:36 GMT 2024","Thu Nov 07 04:25:40 GMT 2024","4129","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Thu Nov 07 04:19:46 GMT 2024","Thu Nov 07 04:19:51 GMT 2024","5076","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Thu Nov 07 04:25:42 GMT 2024","Thu Nov 07 04:25:45 GMT 2024","2263","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 07 04:19:35 GMT 2024","Thu Nov 07 04:19:38 GMT 2024","3797","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:24:35 GMT 2024","Thu Nov 07 04:24:43 GMT 2024","7747","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 07 04:25:18 GMT 2024","Thu Nov 07 04:25:22 GMT 2024","4210","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Thu Nov 07 04:21:43 GMT 2024","Thu Nov 07 04:21:50 GMT 2024","6400","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Thu Nov 07 04:25:26 GMT 2024","Thu Nov 07 04:25:26 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 07 04:26:05 GMT 2024","Thu Nov 07 04:26:09 GMT 2024","4115","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Nov 07 04:25:26 GMT 2024","Thu Nov 07 04:25:32 GMT 2024","5739","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 07 04:25:32 GMT 2024","Thu Nov 07 04:25:36 GMT 2024","4004","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 07 04:18:53 GMT 2024","Thu Nov 07 04:18:57 GMT 2024","4245","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
