"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 04:39:53 GMT 2024","Thu Nov 07 04:40:00 GMT 2024","6724","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:38:13 GMT 2024","Thu Nov 07 04:38:18 GMT 2024","4173","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:40:07 GMT 2024","Thu Nov 07 04:40:13 GMT 2024","6741","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:39:14 GMT 2024","Thu Nov 07 04:39:20 GMT 2024","5755","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"skipped","Thu Nov 07 04:42:08 GMT 2024","Thu Nov 07 04:42:08 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 07 04:38:31 GMT 2024","Thu Nov 07 04:38:35 GMT 2024","3958","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:42:30 GMT 2024","Thu Nov 07 04:42:33 GMT 2024","3049","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 07 04:41:32 GMT 2024","Thu Nov 07 04:41:38 GMT 2024","5854","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Thu Nov 07 04:40:48 GMT 2024","Thu Nov 07 04:40:56 GMT 2024","7840","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 04:42:37 GMT 2024","Thu Nov 07 04:42:40 GMT 2024","2395","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Nov 07 04:39:32 GMT 2024","Thu Nov 07 04:39:39 GMT 2024","6860","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Nov 07 04:38:35 GMT 2024","Thu Nov 07 04:38:37 GMT 2024","2594","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:38:22 GMT 2024","Thu Nov 07 04:38:27 GMT 2024","4230","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 07 04:42:25 GMT 2024","Thu Nov 07 04:42:27 GMT 2024","2386","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 07 04:39:04 GMT 2024","Thu Nov 07 04:39:08 GMT 2024","4267","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 07 04:42:33 GMT 2024","Thu Nov 07 04:42:35 GMT 2024","2206","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Nov 07 04:42:22 GMT 2024","Thu Nov 07 04:42:25 GMT 2024","2491","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
