"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:39:54 GMT 2024","Thu Nov 07 17:40:01 GMT 2024","7256","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Thu Nov 07 17:40:08 GMT 2024","Thu Nov 07 17:40:12 GMT 2024","4656","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Thu Nov 07 17:40:30 GMT 2024","Thu Nov 07 17:40:33 GMT 2024","2117","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Nov 07 17:36:31 GMT 2024","Thu Nov 07 17:36:36 GMT 2024","4964","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:36:46 GMT 2024","Thu Nov 07 17:36:51 GMT 2024","4843","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:37:32 GMT 2024","Thu Nov 07 17:37:39 GMT 2024","6843","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Thu Nov 07 17:40:40 GMT 2024","Thu Nov 07 17:40:42 GMT 2024","2300","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Nov 07 17:37:58 GMT 2024","Thu Nov 07 17:38:05 GMT 2024","7267","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:37:27 GMT 2024","Thu Nov 07 17:37:32 GMT 2024","5063","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Nov 07 17:38:27 GMT 2024","Thu Nov 07 17:38:34 GMT 2024","7113","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:39:10 GMT 2024","Thu Nov 07 17:39:17 GMT 2024","7402","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:36:11 GMT 2024","Thu Nov 07 17:36:16 GMT 2024","4820","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Nov 07 17:40:19 GMT 2024","Thu Nov 07 17:40:23 GMT 2024","4449","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Thu Nov 07 17:36:55 GMT 2024","Thu Nov 07 17:36:58 GMT 2024","2868","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:36:09 GMT 2024","Thu Nov 07 17:36:11 GMT 2024","2410","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
