"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 07 17:54:33 GMT 2024","Thu Nov 07 17:54:39 GMT 2024","6394","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 07 17:51:06 GMT 2024","Thu Nov 07 17:51:09 GMT 2024","2764","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 07 17:51:50 GMT 2024","Thu Nov 07 17:51:54 GMT 2024","3740","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:54:47 GMT 2024","Thu Nov 07 17:54:53 GMT 2024","5819","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Thu Nov 07 17:53:26 GMT 2024","Thu Nov 07 17:53:32 GMT 2024","6206","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:55:17 GMT 2024","Thu Nov 07 17:55:22 GMT 2024","4253","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"skipped","Thu Nov 07 17:55:22 GMT 2024","Thu Nov 07 17:55:22 GMT 2024","0","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu",""
"passed","Thu Nov 07 17:51:18 GMT 2024","Thu Nov 07 17:51:23 GMT 2024","4612","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Nov 07 17:53:12 GMT 2024","Thu Nov 07 17:53:19 GMT 2024","6876","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:52:18 GMT 2024","Thu Nov 07 17:52:23 GMT 2024","5264","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Nov 07 17:53:19 GMT 2024","Thu Nov 07 17:53:26 GMT 2024","6446","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:54:07 GMT 2024","Thu Nov 07 17:54:13 GMT 2024","6326","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 07 17:53:06 GMT 2024","Thu Nov 07 17:53:12 GMT 2024","6673","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Thu Nov 07 17:52:02 GMT 2024","Thu Nov 07 17:52:05 GMT 2024","3760","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:55:22 GMT 2024","Thu Nov 07 17:55:24 GMT 2024","2487","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Nov 07 17:55:38 GMT 2024","Thu Nov 07 17:55:41 GMT 2024","2365","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Nov 07 17:54:53 GMT 2024","Thu Nov 07 17:54:57 GMT 2024","4211","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Thu Nov 07 17:55:29 GMT 2024","Thu Nov 07 17:55:32 GMT 2024","2488","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 07 17:52:05 GMT 2024","Thu Nov 07 17:52:09 GMT 2024","3853","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Thu Nov 07 17:51:41 GMT 2024","Thu Nov 07 17:51:46 GMT 2024","4345","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Thu Nov 07 17:52:45 GMT 2024","Thu Nov 07 17:52:52 GMT 2024","6648","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
