"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 07:03:03 GMT 2024","Sat Nov 09 07:03:09 GMT 2024","6666","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Sat Nov 09 07:02:48 GMT 2024","Sat Nov 09 07:02:56 GMT 2024","7287","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Sat Nov 09 07:05:50 GMT 2024","Sat Nov 09 07:05:53 GMT 2024","2633","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Sat Nov 09 07:01:31 GMT 2024","Sat Nov 09 07:01:35 GMT 2024","4161","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Sat Nov 09 07:01:04 GMT 2024","Sat Nov 09 07:01:08 GMT 2024","4128","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Sat Nov 09 07:02:33 GMT 2024","Sat Nov 09 07:02:41 GMT 2024","8204","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Sat Nov 09 07:01:27 GMT 2024","Sat Nov 09 07:01:31 GMT 2024","4494","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Sat Nov 09 07:03:37 GMT 2024","Sat Nov 09 07:03:44 GMT 2024","6889","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sat Nov 09 07:05:55 GMT 2024","Sat Nov 09 07:05:57 GMT 2024","2359","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Sat Nov 09 07:04:34 GMT 2024","Sat Nov 09 07:04:41 GMT 2024","6626","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Sat Nov 09 07:00:51 GMT 2024","Sat Nov 09 07:00:54 GMT 2024","2804","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
