"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 09 15:16:25 GMT 2024","Sat Nov 09 15:16:39 GMT 2024","13881","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Sat Nov 09 15:14:59 GMT 2024","Sat Nov 09 15:15:07 GMT 2024","8189","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"skipped","Sat Nov 09 15:13:03 GMT 2024","Sat Nov 09 15:13:03 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Sat Nov 09 15:14:12 GMT 2024","Sat Nov 09 15:14:17 GMT 2024","4825","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Sat Nov 09 15:17:03 GMT 2024","Sat Nov 09 15:17:10 GMT 2024","6374","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Sat Nov 09 15:12:50 GMT 2024","Sat Nov 09 15:12:52 GMT 2024","2444","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Sat Nov 09 15:17:49 GMT 2024","Sat Nov 09 15:17:54 GMT 2024","5203","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Sat Nov 09 15:14:44 GMT 2024","Sat Nov 09 15:14:51 GMT 2024","7536","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Sat Nov 09 15:15:15 GMT 2024","Sat Nov 09 15:15:23 GMT 2024","8052","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
"passed","Sat Nov 09 15:18:13 GMT 2024","Sat Nov 09 15:18:16 GMT 2024","2676","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Sat Nov 09 15:13:34 GMT 2024","Sat Nov 09 15:13:39 GMT 2024","4681","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Sat Nov 09 15:18:16 GMT 2024","Sat Nov 09 15:18:19 GMT 2024","2615","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Sat Nov 09 15:17:44 GMT 2024","Sat Nov 09 15:17:49 GMT 2024","4675","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Sat Nov 09 15:17:33 GMT 2024","Sat Nov 09 15:17:37 GMT 2024","4744","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Sat Nov 09 15:18:11 GMT 2024","Sat Nov 09 15:18:13 GMT 2024","2909","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Sat Nov 09 15:13:50 GMT 2024","Sat Nov 09 15:13:55 GMT 2024","4543","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
