"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 17:20:43 GMT 2024","Mon Nov 11 17:20:51 GMT 2024","8308","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A","Verify DNS Record created with all fields."
"passed","Mon Nov 11 17:25:22 GMT 2024","Mon Nov 11 17:25:29 GMT 2024","7159","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Mon Nov 11 17:18:40 GMT 2024","Mon Nov 11 17:18:43 GMT 2024","3068","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Nov 11 17:26:13 GMT 2024","Mon Nov 11 17:26:16 GMT 2024","2290","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Nov 11 17:20:36 GMT 2024","Mon Nov 11 17:20:43 GMT 2024","6630","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Mon Nov 11 17:19:11 GMT 2024","Mon Nov 11 17:19:16 GMT 2024","4820","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:26:16 GMT 2024","Mon Nov 11 17:26:18 GMT 2024","2866","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Nov 11 17:26:08 GMT 2024","Mon Nov 11 17:26:11 GMT 2024","2735","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Mon Nov 11 17:26:02 GMT 2024","Mon Nov 11 17:26:05 GMT 2024","2702","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Mon Nov 11 17:22:25 GMT 2024","Mon Nov 11 17:22:32 GMT 2024","7290","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:25:01 GMT 2024","Mon Nov 11 17:25:12 GMT 2024","11212","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Mon Nov 11 17:20:03 GMT 2024","Mon Nov 11 17:20:09 GMT 2024","5802","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Mon Nov 11 17:19:53 GMT 2024","Mon Nov 11 17:19:58 GMT 2024","4682","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Mon Nov 11 17:21:45 GMT 2024","Mon Nov 11 17:21:53 GMT 2024","7875","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:25:17 GMT 2024","Mon Nov 11 17:25:22 GMT 2024","4797","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Mon Nov 11 17:24:32 GMT 2024","Mon Nov 11 17:24:40 GMT 2024","8031","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Mon Nov 11 17:25:54 GMT 2024","Mon Nov 11 17:25:59 GMT 2024","5599","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Mon Nov 11 17:21:07 GMT 2024","Mon Nov 11 17:21:14 GMT 2024","7814","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Mon Nov 11 17:22:01 GMT 2024","Mon Nov 11 17:22:10 GMT 2024","8272","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:24:41 GMT 2024","Mon Nov 11 17:24:47 GMT 2024","6606","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Mon Nov 11 17:22:17 GMT 2024","Mon Nov 11 17:22:25 GMT 2024","7316","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:18:49 GMT 2024","Mon Nov 11 17:18:52 GMT 2024","2798","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 11 17:25:38 GMT 2024","Mon Nov 11 17:25:44 GMT 2024","5293","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Mon Nov 11 17:19:26 GMT 2024","Mon Nov 11 17:19:31 GMT 2024","4990","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:26:18 GMT 2024","Mon Nov 11 17:26:21 GMT 2024","2594","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Mon Nov 11 17:19:16 GMT 2024","Mon Nov 11 17:19:21 GMT 2024","4757","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:25:48 GMT 2024","Mon Nov 11 17:25:54 GMT 2024","5390","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Mon Nov 11 17:26:11 GMT 2024","Mon Nov 11 17:26:13 GMT 2024","2654","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Mon Nov 11 17:20:29 GMT 2024","Mon Nov 11 17:20:36 GMT 2024","6655","chromium","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Mon Nov 11 17:25:29 GMT 2024","Mon Nov 11 17:25:34 GMT 2024","4784","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Mon Nov 11 17:26:27 GMT 2024","Mon Nov 11 17:26:34 GMT 2024","6827","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Mon Nov 11 17:18:44 GMT 2024","Mon Nov 11 17:18:46 GMT 2024","2731","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 11 17:19:36 GMT 2024","Mon Nov 11 17:19:41 GMT 2024","4460","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:19:06 GMT 2024","Mon Nov 11 17:19:11 GMT 2024","5381","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:25:12 GMT 2024","Mon Nov 11 17:25:17 GMT 2024","4933","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Mon Nov 11 17:20:09 GMT 2024","Mon Nov 11 17:20:17 GMT 2024","8731","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Nov 11 17:24:24 GMT 2024","Mon Nov 11 17:24:31 GMT 2024","7770","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Mon Nov 11 17:19:21 GMT 2024","Mon Nov 11 17:19:26 GMT 2024","5085","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:21:30 GMT 2024","Mon Nov 11 17:21:38 GMT 2024","7528","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"broken","Mon Nov 11 17:23:35 GMT 2024","Mon Nov 11 17:24:06 GMT 2024","30703","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"skipped","Mon Nov 11 17:25:22 GMT 2024","Mon Nov 11 17:25:22 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Nov 11 17:25:44 GMT 2024","Mon Nov 11 17:25:48 GMT 2024","4712","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Mon Nov 11 17:18:46 GMT 2024","Mon Nov 11 17:18:49 GMT 2024","2685","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Mon Nov 11 17:18:55 GMT 2024","Mon Nov 11 17:19:00 GMT 2024","5494","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Mon Nov 11 17:20:17 GMT 2024","Mon Nov 11 17:20:23 GMT 2024","5114","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Mon Nov 11 17:21:14 GMT 2024","Mon Nov 11 17:21:23 GMT 2024","8049","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Mon Nov 11 17:19:49 GMT 2024","Mon Nov 11 17:19:53 GMT 2024","4581","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:19:44 GMT 2024","Mon Nov 11 17:19:49 GMT 2024","4559","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:21:53 GMT 2024","Mon Nov 11 17:22:01 GMT 2024","7940","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:25:34 GMT 2024","Mon Nov 11 17:25:38 GMT 2024","4808","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Mon Nov 11 17:20:51 GMT 2024","Mon Nov 11 17:20:58 GMT 2024","7538","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Mon Nov 11 17:24:07 GMT 2024","Mon Nov 11 17:24:22 GMT 2024","15077","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Mon Nov 11 17:25:59 GMT 2024","Mon Nov 11 17:26:02 GMT 2024","2662","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Mon Nov 11 17:24:54 GMT 2024","Mon Nov 11 17:25:01 GMT 2024","6567","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Mon Nov 11 17:24:47 GMT 2024","Mon Nov 11 17:24:54 GMT 2024","6816","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Mon Nov 11 17:19:31 GMT 2024","Mon Nov 11 17:19:36 GMT 2024","5341","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:19:41 GMT 2024","Mon Nov 11 17:19:44 GMT 2024","3356","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Mon Nov 11 17:19:58 GMT 2024","Mon Nov 11 17:20:03 GMT 2024","4881","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Mon Nov 11 17:20:23 GMT 2024","Mon Nov 11 17:20:29 GMT 2024","6771","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Mon Nov 11 17:26:05 GMT 2024","Mon Nov 11 17:26:08 GMT 2024","3089","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Mon Nov 11 17:21:38 GMT 2024","Mon Nov 11 17:21:45 GMT 2024","7720","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:18:52 GMT 2024","Mon Nov 11 17:18:55 GMT 2024","3144","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Mon Nov 11 17:19:00 GMT 2024","Mon Nov 11 17:19:06 GMT 2024","5364","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"skipped","Mon Nov 11 17:19:06 GMT 2024","Mon Nov 11 17:19:06 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Mon Nov 11 17:26:21 GMT 2024","Mon Nov 11 17:26:27 GMT 2024","6007","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Mon Nov 11 17:20:58 GMT 2024","Mon Nov 11 17:21:07 GMT 2024","8171","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Mon Nov 11 17:22:10 GMT 2024","Mon Nov 11 17:22:17 GMT 2024","7681","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 17:21:23 GMT 2024","Mon Nov 11 17:21:30 GMT 2024","7677","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS","Verify DNS Record created with all fields."
