"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 11 18:29:07 GMT 2024","Mon Nov 11 18:29:07 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Mon Nov 11 18:31:50 GMT 2024","Mon Nov 11 18:31:57 GMT 2024","7288","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Nov 11 18:34:28 GMT 2024","Mon Nov 11 18:34:30 GMT 2024","2602","chromium","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Mon Nov 11 18:32:40 GMT 2024","Mon Nov 11 18:32:47 GMT 2024","7034","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Mon Nov 11 18:28:55 GMT 2024","Mon Nov 11 18:28:58 GMT 2024","2356","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Mon Nov 11 18:33:29 GMT 2024","Mon Nov 11 18:33:33 GMT 2024","4759","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Mon Nov 11 18:31:15 GMT 2024","Mon Nov 11 18:31:22 GMT 2024","7589","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Mon Nov 11 18:30:46 GMT 2024","Mon Nov 11 18:30:53 GMT 2024","7244","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Mon Nov 11 18:29:21 GMT 2024","Mon Nov 11 18:29:26 GMT 2024","4296","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Mon Nov 11 18:30:14 GMT 2024","Mon Nov 11 18:30:20 GMT 2024","6407","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Mon Nov 11 18:34:18 GMT 2024","Mon Nov 11 18:34:23 GMT 2024","5120","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
