"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 13 13:18:11 GMT 2024","Wed Nov 13 13:18:16 GMT 2024","4252","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 13 13:18:09 GMT 2024","Wed Nov 13 13:18:11 GMT 2024","2592","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Nov 13 13:18:16 GMT 2024","Wed Nov 13 13:18:20 GMT 2024","4177","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"failed","Wed Nov 13 13:19:47 GMT 2024","Wed Nov 13 13:19:56 GMT 2024","9056","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:49 GMT 2024","Wed Nov 13 13:18:53 GMT 2024","4274","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:20 GMT 2024","Wed Nov 13 13:18:25 GMT 2024","5247","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:44 GMT 2024","Wed Nov 13 13:18:49 GMT 2024","4847","chromium","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:30 GMT 2024","Wed Nov 13 13:18:34 GMT 2024","4303","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:19:21 GMT 2024","Wed Nov 13 13:19:25 GMT 2024","4647","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"skipped","Wed Nov 13 13:18:20 GMT 2024","Wed Nov 13 13:18:20 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Wed Nov 13 13:18:03 GMT 2024","Wed Nov 13 13:18:06 GMT 2024","2539","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 13:18:01 GMT 2024","Wed Nov 13 13:18:03 GMT 2024","2933","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 13:18:25 GMT 2024","Wed Nov 13 13:18:30 GMT 2024","4512","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:34 GMT 2024","Wed Nov 13 13:18:39 GMT 2024","4617","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:06 GMT 2024","Wed Nov 13 13:18:09 GMT 2024","2713","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"failed","Wed Nov 13 13:19:57 GMT 2024","Wed Nov 13 13:20:06 GMT 2024","8970","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Wed Nov 13 13:17:52 GMT 2024","Wed Nov 13 13:18:00 GMT 2024","8373","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"failed","Wed Nov 13 13:19:12 GMT 2024","Wed Nov 13 13:19:20 GMT 2024","8310","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Nov 13 13:18:39 GMT 2024","Wed Nov 13 13:18:44 GMT 2024","5301","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
