"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","1","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"passed","Wed Nov 13 16:11:56 GMT 2024","Wed Nov 13 16:12:05 GMT 2024","8778","chromium","","Domains > DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Wed Nov 13 16:11:12 GMT 2024","Wed Nov 13 16:11:22 GMT 2024","9867","chromium","","Domains > Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Nov 13 16:06:07 GMT 2024","Wed Nov 13 16:06:13 GMT 2024","5865","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:05:32 GMT 2024","Wed Nov 13 16:05:35 GMT 2024","3461","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 13 16:16:02 GMT 2024","Wed Nov 13 16:16:05 GMT 2024","2856","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Nov 13 16:07:41 GMT 2024","Wed Nov 13 16:07:47 GMT 2024","5692","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Wed Nov 13 16:06:53 GMT 2024","Wed Nov 13 16:06:59 GMT 2024","5384","chromium","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:05:59 GMT 2024","Wed Nov 13 16:06:07 GMT 2024","7629","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:11:44 GMT 2024","Wed Nov 13 16:11:56 GMT 2024","12300","chromium","","Domains > DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 13 16:13:22 GMT 2024","Wed Nov 13 16:13:31 GMT 2024","9219","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 16:05:35 GMT 2024","Wed Nov 13 16:05:38 GMT 2024","2779","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 16:05:38 GMT 2024","Wed Nov 13 16:05:41 GMT 2024","2918","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 16:15:53 GMT 2024","Wed Nov 13 16:15:56 GMT 2024","2830","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Nov 13 16:13:43 GMT 2024","Wed Nov 13 16:13:50 GMT 2024","6937","chromium","","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Wed Nov 13 16:15:56 GMT 2024","Wed Nov 13 16:15:59 GMT 2024","2516","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Nov 13 16:16:10 GMT 2024","Wed Nov 13 16:16:13 GMT 2024","2708","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Nov 13 16:10:42 GMT 2024","Wed Nov 13 16:10:58 GMT 2024","16188","chromium","","Domains > Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Nov 13 16:11:00 GMT 2024","Wed Nov 13 16:11:06 GMT 2024","6239","chromium","","Domains > Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Nov 13 16:15:24 GMT 2024","Wed Nov 13 16:15:30 GMT 2024","5841","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 16:07:19 GMT 2024","Wed Nov 13 16:07:24 GMT 2024","4848","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"passed","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:35 GMT 2024","21784","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"passed","Wed Nov 13 16:11:33 GMT 2024","Wed Nov 13 16:11:43 GMT 2024","10320","chromium","","Domains > DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"passed","Wed Nov 13 16:05:41 GMT 2024","Wed Nov 13 16:05:44 GMT 2024","2975","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 16:16:15 GMT 2024","Wed Nov 13 16:16:22 GMT 2024","6445","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Nov 13 16:16:07 GMT 2024","Wed Nov 13 16:16:10 GMT 2024","2743","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Nov 13 16:11:22 GMT 2024","Wed Nov 13 16:11:32 GMT 2024","10007","chromium","","Domains > Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"passed","Wed Nov 13 16:07:29 GMT 2024","Wed Nov 13 16:07:35 GMT 2024","5640","chromium","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Wed Nov 13 16:13:58 GMT 2024","Wed Nov 13 16:14:05 GMT 2024","7058","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Wed Nov 13 16:13:50 GMT 2024","Wed Nov 13 16:13:58 GMT 2024","8594","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Wed Nov 13 16:07:16 GMT 2024","Wed Nov 13 16:07:19 GMT 2024","3457","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:14:05 GMT 2024","Wed Nov 13 16:14:19 GMT 2024","13527","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"skipped","Wed Nov 13 16:05:59 GMT 2024","Wed Nov 13 16:05:59 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Wed Nov 13 16:07:11 GMT 2024","Wed Nov 13 16:07:16 GMT 2024","5250","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:15:19 GMT 2024","Wed Nov 13 16:15:24 GMT 2024","5282","chromium","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 16:12:35 GMT 2024","Wed Nov 13 16:12:46 GMT 2024","10516","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 16:05:47 GMT 2024","Wed Nov 13 16:05:53 GMT 2024","6310","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Nov 13 16:15:13 GMT 2024","Wed Nov 13 16:15:19 GMT 2024","5491","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
"passed","Wed Nov 13 16:07:24 GMT 2024","Wed Nov 13 16:07:29 GMT 2024","4783","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:07:35 GMT 2024","Wed Nov 13 16:07:41 GMT 2024","6112","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"failed","Wed Nov 13 16:06:40 GMT 2024","Wed Nov 13 16:06:53 GMT 2024","12466","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:13:12 GMT 2024","Wed Nov 13 16:13:22 GMT 2024","9573","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"failed","Wed Nov 13 16:13:31 GMT 2024","Wed Nov 13 16:13:42 GMT 2024","11374","chromium","","Domains > DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Wed Nov 13 16:15:36 GMT 2024","Wed Nov 13 16:15:44 GMT 2024","7635","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Wed Nov 13 16:15:30 GMT 2024","Wed Nov 13 16:15:36 GMT 2024","6329","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Wed Nov 13 16:12:14 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"passed","Wed Nov 13 16:12:05 GMT 2024","Wed Nov 13 16:12:14 GMT 2024","8698","chromium","","Domains > DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Nov 13 16:06:59 GMT 2024","Wed Nov 13 16:07:06 GMT 2024","6970","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Wed Nov 13 16:15:44 GMT 2024","Wed Nov 13 16:15:53 GMT 2024","9701","chromium","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
