"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 17:15:24 GMT 2024","Wed Nov 13 17:15:24 GMT 2024","0","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog",""
"passed","Wed Nov 13 17:17:34 GMT 2024","Wed Nov 13 17:17:40 GMT 2024","6012","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"skipped","Wed Nov 13 17:15:24 GMT 2024","Wed Nov 13 17:15:24 GMT 2024","0","chromium","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"passed","Wed Nov 13 17:14:11 GMT 2024","Wed Nov 13 17:14:13 GMT 2024","2756","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"passed","Wed Nov 13 17:15:28 GMT 2024","Wed Nov 13 17:15:32 GMT 2024","3973","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"skipped","Wed Nov 13 17:16:46 GMT 2024","Wed Nov 13 17:16:46 GMT 2024","0","chromium","","Domains > DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
"passed","Wed Nov 13 17:17:54 GMT 2024","Wed Nov 13 17:17:58 GMT 2024","4550","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"skipped","Wed Nov 13 17:15:24 GMT 2024","Wed Nov 13 17:15:24 GMT 2024","0","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home",""
"passed","Wed Nov 13 17:14:04 GMT 2024","Wed Nov 13 17:14:07 GMT 2024","3527","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Nov 13 17:16:12 GMT 2024","Wed Nov 13 17:16:21 GMT 2024","9208","chromium","","Domains > Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"failed","Wed Nov 13 17:14:54 GMT 2024","Wed Nov 13 17:15:04 GMT 2024","9771","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Wed Nov 13 17:18:25 GMT 2024","Wed Nov 13 17:18:28 GMT 2024","2756","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 13 17:16:57 GMT 2024","Wed Nov 13 17:17:04 GMT 2024","6848","chromium","","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
