"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 20:12:51 GMT 2024","Wed Nov 13 20:12:51 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"failed","Wed Nov 13 20:12:42 GMT 2024","Wed Nov 13 20:12:51 GMT 2024","9059","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Wed Nov 13 20:04:11 GMT 2024","Wed Nov 13 20:04:13 GMT 2024","2885","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 20:12:51 GMT 2024","Wed Nov 13 20:12:57 GMT 2024","6107","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Wed Nov 13 20:12:17 GMT 2024","Wed Nov 13 20:12:21 GMT 2024","4291","chromium","","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Wed Nov 13 20:10:08 GMT 2024","Wed Nov 13 20:10:15 GMT 2024","7247","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 20:14:04 GMT 2024","Wed Nov 13 20:14:06 GMT 2024","2289","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 13 20:10:37 GMT 2024","Wed Nov 13 20:10:44 GMT 2024","7006","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Nov 13 20:13:12 GMT 2024","Wed Nov 13 20:13:16 GMT 2024","4049","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 20:08:53 GMT 2024","Wed Nov 13 20:08:59 GMT 2024","5548","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Nov 13 20:11:44 GMT 2024","Wed Nov 13 20:11:51 GMT 2024","6695","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
