"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"passed","Wed Nov 13 21:01:54 GMT 2024","Wed Nov 13 21:01:58 GMT 2024","4008","chromium","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"skipped","Wed Nov 13 21:03:40 GMT 2024","Wed Nov 13 21:03:40 GMT 2024","0","chromium","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Wed Nov 13 21:03:15 GMT 2024","Wed Nov 13 21:03:20 GMT 2024","4685","chromium","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Wed Nov 13 21:02:17 GMT 2024","Wed Nov 13 21:02:22 GMT 2024","5640","chromium","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Wed Nov 13 21:03:46 GMT 2024","Wed Nov 13 21:03:50 GMT 2024","4078","chromium","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Nov 13 21:04:36 GMT 2024","Wed Nov 13 21:04:39 GMT 2024","2461","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Nov 13 21:03:40 GMT 2024","Wed Nov 13 21:03:46 GMT 2024","5787","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Wed Nov 13 21:04:24 GMT 2024","Wed Nov 13 21:04:27 GMT 2024","2042","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Nov 13 21:00:50 GMT 2024","Wed Nov 13 21:00:52 GMT 2024","2358","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 21:00:55 GMT 2024","Wed Nov 13 21:00:57 GMT 2024","2625","chromium","","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Wed Nov 13 21:02:48 GMT 2024","Wed Nov 13 21:02:54 GMT 2024","6643","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Wed Nov 13 21:02:28 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","5676","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Nov 13 21:03:02 GMT 2024","Wed Nov 13 21:03:09 GMT 2024","6548","chromium","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Wed Nov 13 21:01:47 GMT 2024","Wed Nov 13 21:01:51 GMT 2024","3737","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:03:59 GMT 2024","Wed Nov 13 21:04:04 GMT 2024","4533","chromium","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Nov 13 21:02:54 GMT 2024","Wed Nov 13 21:03:01 GMT 2024","7001","chromium","","Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS",""
"passed","Wed Nov 13 21:02:04 GMT 2024","Wed Nov 13 21:02:12 GMT 2024","8151","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields",""
"passed","Wed Nov 13 21:00:52 GMT 2024","Wed Nov 13 21:00:55 GMT 2024","2426","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 21:01:25 GMT 2024","Wed Nov 13 21:01:30 GMT 2024","5094","chromium","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields",""
"passed","Wed Nov 13 21:04:31 GMT 2024","Wed Nov 13 21:04:34 GMT 2024","2277","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Nov 13 21:01:35 GMT 2024","Wed Nov 13 21:01:39 GMT 2024","4492","chromium","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Wed Nov 13 21:00:47 GMT 2024","Wed Nov 13 21:00:50 GMT 2024","2501","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Nov 13 21:04:29 GMT 2024","Wed Nov 13 21:04:31 GMT 2024","2425","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Nov 13 21:04:22 GMT 2024","Wed Nov 13 21:04:24 GMT 2024","2218","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Wed Nov 13 21:01:06 GMT 2024","Wed Nov 13 21:01:06 GMT 2024","1","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"skipped","Wed Nov 13 21:02:34 GMT 2024","Wed Nov 13 21:02:34 GMT 2024","0","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
