"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 14 03:33:23 GMT 2024","Thu Nov 14 03:33:23 GMT 2024","1","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Nov 14 03:33:45 GMT 2024","Thu Nov 14 03:33:50 GMT 2024","5109","chromium","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Thu Nov 14 03:30:35 GMT 2024","Thu Nov 14 03:30:41 GMT 2024","5887","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Thu Nov 14 03:32:19 GMT 2024","Thu Nov 14 03:32:31 GMT 2024","12319","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"skipped","Thu Nov 14 03:29:21 GMT 2024","Thu Nov 14 03:29:21 GMT 2024","0","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Thu Nov 14 03:30:09 GMT 2024","Thu Nov 14 03:30:14 GMT 2024","4708","chromium","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Thu Nov 14 03:34:00 GMT 2024","Thu Nov 14 03:34:02 GMT 2024","2495","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Nov 14 03:32:32 GMT 2024","Thu Nov 14 03:32:39 GMT 2024","6406","chromium","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Thu Nov 14 03:29:17 GMT 2024","Thu Nov 14 03:29:21 GMT 2024","3985","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Nov 14 03:31:52 GMT 2024","Thu Nov 14 03:31:59 GMT 2024","6776","chromium","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Nov 14 03:33:50 GMT 2024","Thu Nov 14 03:33:55 GMT 2024","4512","chromium","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Thu Nov 14 03:29:21 GMT 2024","Thu Nov 14 03:29:25 GMT 2024","4753","chromium","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:32:12 GMT 2024","Thu Nov 14 03:32:19 GMT 2024","7098","chromium","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Thu Nov 14 03:33:10 GMT 2024","Thu Nov 14 03:33:18 GMT 2024","8128","chromium","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Thu Nov 14 03:29:53 GMT 2024","Thu Nov 14 03:29:57 GMT 2024","4380","chromium","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:34:19 GMT 2024","Thu Nov 14 03:34:25 GMT 2024","6437","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Nov 14 03:29:07 GMT 2024","Thu Nov 14 03:29:10 GMT 2024","2645","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 14 03:29:57 GMT 2024","Thu Nov 14 03:30:01 GMT 2024","3726","chromium","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:31:00 GMT 2024","Thu Nov 14 03:31:07 GMT 2024","6422","chromium","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"passed","Thu Nov 14 03:29:02 GMT 2024","Thu Nov 14 03:29:05 GMT 2024","2635","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Nov 14 03:29:29 GMT 2024","Thu Nov 14 03:29:33 GMT 2024","4121","chromium","","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Thu Nov 14 03:34:16 GMT 2024","Thu Nov 14 03:34:19 GMT 2024","2600","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Nov 14 03:34:07 GMT 2024","Thu Nov 14 03:34:10 GMT 2024","2552","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Nov 14 03:33:23 GMT 2024","Thu Nov 14 03:33:28 GMT 2024","5914","chromium","","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Thu Nov 14 03:29:25 GMT 2024","Thu Nov 14 03:29:29 GMT 2024","3954","chromium","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
