"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Nov 22 00:50:05 GMT 2024","Fri Nov 22 00:50:05 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
"passed","Fri Nov 22 00:49:56 GMT 2024","Fri Nov 22 00:50:00 GMT 2024","3074","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 22 00:49:48 GMT 2024","Fri Nov 22 00:49:52 GMT 2024","3644","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 22 00:50:00 GMT 2024","Fri Nov 22 00:50:02 GMT 2024","2728","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 22 00:50:02 GMT 2024","Fri Nov 22 00:50:05 GMT 2024","2384","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Fri Nov 22 00:51:39 GMT 2024","Fri Nov 22 00:51:44 GMT 2024","4443","chromium","02Authorization.spec.js","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Fri Nov 22 00:50:05 GMT 2024","Fri Nov 22 00:50:05 GMT 2024","0","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"skipped","Fri Nov 22 00:51:49 GMT 2024","Fri Nov 22 00:51:49 GMT 2024","0","chromium","02Authorization.spec.js","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Fri Nov 22 00:51:54 GMT 2024","Fri Nov 22 00:51:59 GMT 2024","4742","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Fri Nov 22 00:51:49 GMT 2024","Fri Nov 22 00:51:54 GMT 2024","5158","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"broken","Fri Nov 22 00:51:08 GMT 2024","Fri Nov 22 00:51:38 GMT 2024","30143","chromium","01Registration.spec.js","Registration","","","TC_01_01_04 | Verify the contact creation, redirection to Homepage, and user info accuracy","Verify the contact creation, redirection to Homepage, and user info accuracy"
"passed","Fri Nov 22 00:51:44 GMT 2024","Fri Nov 22 00:51:49 GMT 2024","5108","chromium","02Authorization.spec.js","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 22 00:52:05 GMT 2024","Fri Nov 22 00:52:10 GMT 2024","5426","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Fri Nov 22 00:51:59 GMT 2024","Fri Nov 22 00:52:05 GMT 2024","5849","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Fri Nov 22 00:49:53 GMT 2024","Fri Nov 22 00:49:56 GMT 2024","2977","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
