"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Nov 22 16:17:44 GMT 2024","Fri Nov 22 16:17:44 GMT 2024","0","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)",""
"passed","Fri Nov 22 16:10:27 GMT 2024","Fri Nov 22 16:10:31 GMT 2024","4334","chromium","02Authorization.spec.js","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Fri Nov 22 16:17:32 GMT 2024","Fri Nov 22 16:17:34 GMT 2024","2808","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Fri Nov 22 16:13:38 GMT 2024","Fri Nov 22 16:13:45 GMT 2024","6188","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Fri Nov 22 16:17:03 GMT 2024","Fri Nov 22 16:17:03 GMT 2024","0","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings",""
"passed","Fri Nov 22 16:10:36 GMT 2024","Fri Nov 22 16:10:42 GMT 2024","5412","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:13:18 GMT 2024","Fri Nov 22 16:13:24 GMT 2024","6947","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 16:17:17 GMT 2024","Fri Nov 22 16:17:24 GMT 2024","7011","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user user user receives notifications after Account deletion is canceled"
"passed","Fri Nov 22 16:17:57 GMT 2024","Fri Nov 22 16:18:02 GMT 2024","4313","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality.","To verify Check email form elements and ""Back to Forgot password"" functionality."
"passed","Fri Nov 22 16:10:42 GMT 2024","Fri Nov 22 16:10:47 GMT 2024","4912","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:10:19 GMT 2024","Fri Nov 22 16:10:22 GMT 2024","2599","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 22 16:17:29 GMT 2024","Fri Nov 22 16:17:32 GMT 2024","2437","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Fri Nov 22 16:13:52 GMT 2024","Fri Nov 22 16:14:00 GMT 2024","7622","chromium","04Domains.spec.js","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone","Delete DNS record in hosted zone"
"passed","Fri Nov 22 16:18:18 GMT 2024","Fri Nov 22 16:18:20 GMT 2024","2385","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"passed","Fri Nov 22 16:16:58 GMT 2024","Fri Nov 22 16:17:03 GMT 2024","5332","chromium","08MyProfile.spec.js","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"passed","Fri Nov 22 16:17:51 GMT 2024","Fri Nov 22 16:17:55 GMT 2024","3138","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"skipped","Fri Nov 22 16:10:27 GMT 2024","Fri Nov 22 16:10:27 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"passed","Fri Nov 22 16:13:11 GMT 2024","Fri Nov 22 16:13:18 GMT 2024","6285","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"failed","Fri Nov 22 16:16:09 GMT 2024","Fri Nov 22 16:16:19 GMT 2024","9625","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"failed","Fri Nov 22 16:15:38 GMT 2024","Fri Nov 22 16:15:47 GMT 2024","9176","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Fri Nov 22 16:12:51 GMT 2024","Fri Nov 22 16:12:57 GMT 2024","6726","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Fri Nov 22 16:11:16 GMT 2024","Fri Nov 22 16:11:20 GMT 2024","4605","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:10:12 GMT 2024","Fri Nov 22 16:10:15 GMT 2024","3010","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Fri Nov 22 16:14:35 GMT 2024","Fri Nov 22 16:14:41 GMT 2024","6070","chromium","06Blog.spec.js","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Fri Nov 22 16:16:54 GMT 2024","Fri Nov 22 16:16:58 GMT 2024","3792","chromium","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Fri Nov 22 16:12:16 GMT 2024","Fri Nov 22 16:12:23 GMT 2024","7295","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Fri Nov 22 16:12:23 GMT 2024","Fri Nov 22 16:12:30 GMT 2024","6602","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Fri Nov 22 16:17:34 GMT 2024","Fri Nov 22 16:17:37 GMT 2024","2212","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Fri Nov 22 16:13:04 GMT 2024","Fri Nov 22 16:13:11 GMT 2024","6820","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 16:11:34 GMT 2024","Fri Nov 22 16:11:39 GMT 2024","5266","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Fri Nov 22 16:16:49 GMT 2024","Fri Nov 22 16:16:54 GMT 2024","4546","chromium","08MyProfile.spec.js","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Fri Nov 22 16:14:41 GMT 2024","Fri Nov 22 16:14:47 GMT 2024","5602","chromium","06Blog.spec.js","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"failed","Fri Nov 22 16:16:30 GMT 2024","Fri Nov 22 16:16:34 GMT 2024","4070","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Fri Nov 22 16:10:31 GMT 2024","Fri Nov 22 16:10:36 GMT 2024","4952","chromium","02Authorization.spec.js","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Fri Nov 22 16:16:45 GMT 2024","Fri Nov 22 16:16:49 GMT 2024","3950","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Fri Nov 22 16:17:41 GMT 2024","Fri Nov 22 16:17:44 GMT 2024","2331","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Fri Nov 22 16:13:24 GMT 2024","Fri Nov 22 16:13:32 GMT 2024","7356","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields MX. Ignored optional fields","Verify DNS Record with required fields."
"passed","Fri Nov 22 16:11:20 GMT 2024","Fri Nov 22 16:11:25 GMT 2024","4494","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:10:56 GMT 2024","Fri Nov 22 16:11:02 GMT 2024","5013","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:10:16 GMT 2024","Fri Nov 22 16:10:19 GMT 2024","3100","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"failed","Fri Nov 22 16:15:08 GMT 2024","Fri Nov 22 16:15:17 GMT 2024","8883","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Fri Nov 22 16:11:50 GMT 2024","Fri Nov 22 16:11:56 GMT 2024","6208","chromium","04Domains.spec.js","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"skipped","Fri Nov 22 16:10:27 GMT 2024","Fri Nov 22 16:10:27 GMT 2024","1","chromium","01Registration.spec.js","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
"passed","Fri Nov 22 16:11:56 GMT 2024","Fri Nov 22 16:12:03 GMT 2024","6327","chromium","04Domains.spec.js","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Fri Nov 22 16:17:37 GMT 2024","Fri Nov 22 16:17:39 GMT 2024","2311","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"skipped","Fri Nov 22 16:10:36 GMT 2024","Fri Nov 22 16:10:36 GMT 2024","1","chromium","02Authorization.spec.js","Authorization","","","TC_02_04 | Account Deletion Without 2FA",""
"passed","Fri Nov 22 16:14:20 GMT 2024","Fri Nov 22 16:14:27 GMT 2024","7197","chromium","04Domains.spec.js","Hosted zones","","","TC_04_02 | Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"passed","Fri Nov 22 16:10:47 GMT 2024","Fri Nov 22 16:10:52 GMT 2024","4818","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_03 |  Verify that user can navigate through Header links Transfer","To verify that user can navigate through Header links."
"passed","Fri Nov 22 16:17:09 GMT 2024","Fri Nov 22 16:17:13 GMT 2024","4701","chromium","08MyProfile.spec.js","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Fri Nov 22 16:17:03 GMT 2024","Fri Nov 22 16:17:09 GMT 2024","5618","chromium","08MyProfile.spec.js","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Fri Nov 22 16:16:35 GMT 2024","Fri Nov 22 16:16:41 GMT 2024","6120","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Fri Nov 22 16:10:22 GMT 2024","Fri Nov 22 16:10:25 GMT 2024","2839","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Fri Nov 22 16:11:07 GMT 2024","Fri Nov 22 16:11:11 GMT 2024","4639","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
