"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 16:20:25 GMT 2024","Sun Nov 24 16:20:32 GMT 2024","7209","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"passed","Sun Nov 24 16:15:06 GMT 2024","Sun Nov 24 16:15:08 GMT 2024","2135","chromium","01Registration.spec.js","Registration","","","TC_01_01_01 | Verify Registration form elements","Verify the registration form contains all required elements for a complete user registration"
"passed","Sun Nov 24 16:22:29 GMT 2024","Sun Nov 24 16:22:34 GMT 2024","5133","chromium","06Blog.spec.js","Blog","","","TC_06_08 | Verify Autocomplete Suggestions Displayed for Partial Search Input","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Sun Nov 24 16:16:33 GMT 2024","Sun Nov 24 16:16:38 GMT 2024","4689","chromium","02Authorization.spec.js","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Sun Nov 24 16:24:56 GMT 2024","Sun Nov 24 16:24:58 GMT 2024","2331","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Sun Nov 24 16:25:06 GMT 2024","Sun Nov 24 16:25:08 GMT 2024","2355","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Sun Nov 24 16:23:15 GMT 2024","Sun Nov 24 16:23:19 GMT 2024","4748","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"passed","Sun Nov 24 16:21:19 GMT 2024","Sun Nov 24 16:21:26 GMT 2024","6730","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sun Nov 24 16:24:25 GMT 2024","Sun Nov 24 16:24:30 GMT 2024","5367","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings","To verify, that user user can manage Account Notifications settings"
"passed","Sun Nov 24 16:20:12 GMT 2024","Sun Nov 24 16:20:18 GMT 2024","6404","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Sun Nov 24 16:19:45 GMT 2024","Sun Nov 24 16:19:51 GMT 2024","5784","chromium","04Domains.spec.js","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Sun Nov 24 16:19:28 GMT 2024","Sun Nov 24 16:19:32 GMT 2024","4062","chromium","04Domains.spec.js","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Sun Nov 24 16:19:01 GMT 2024","Sun Nov 24 16:19:05 GMT 2024","4146","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center","To verify that user can navigate through Header links."
"passed","Sun Nov 24 16:15:04 GMT 2024","Sun Nov 24 16:15:06 GMT 2024","2099","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Sun Nov 24 16:19:23 GMT 2024","Sun Nov 24 16:19:28 GMT 2024","4941","chromium","04Domains.spec.js","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Sun Nov 24 16:22:22 GMT 2024","Sun Nov 24 16:22:28 GMT 2024","6795","chromium","04Domains.spec.js","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Sun Nov 24 16:25:28 GMT 2024","Sun Nov 24 16:25:34 GMT 2024","6746","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results","Verify that user can select several TLDs and see relevant search results"
"failed","Sun Nov 24 16:17:47 GMT 2024","Sun Nov 24 16:18:23 GMT 2024","35872","chromium","02Authorization.spec.js","Delete Account","","","TC_02_04 | Account Deletion Without 2FA","To verify user can delete account without 2FA"
"passed","Sun Nov 24 16:23:56 GMT 2024","Sun Nov 24 16:24:02 GMT 2024","5673","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_03 | Verify the user can enable/disable Two-factor authentication (2FA)","Verify the user can enable/disable Two-factor authentication (2FA)"
"passed","Sun Nov 24 16:19:39 GMT 2024","Sun Nov 24 16:19:45 GMT 2024","5931","chromium","04Domains.spec.js","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Sun Nov 24 16:21:54 GMT 2024","Sun Nov 24 16:22:07 GMT 2024","12183","chromium","04Domains.spec.js","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Sun Nov 24 16:21:33 GMT 2024","Sun Nov 24 16:21:40 GMT 2024","6725","chromium","04Domains.spec.js","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Sun Nov 24 16:15:08 GMT 2024","Sun Nov 24 16:15:12 GMT 2024","4037","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"passed","Sun Nov 24 16:25:37 GMT 2024","Sun Nov 24 16:25:39 GMT 2024","2573","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Sun Nov 24 16:25:20 GMT 2024","Sun Nov 24 16:25:23 GMT 2024","2805","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality.","To verify Forgot Password page elements and ""Back to Log in"" functionality."
"passed","Sun Nov 24 16:25:46 GMT 2024","Sun Nov 24 16:25:49 GMT 2024","2739","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Sun Nov 24 16:23:02 GMT 2024","Sun Nov 24 16:23:15 GMT 2024","12990","chromium","06Blog.spec.js","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Sun Nov 24 16:24:07 GMT 2024","Sun Nov 24 16:24:11 GMT 2024","4174","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Sun Nov 24 16:20:59 GMT 2024","Sun Nov 24 16:21:06 GMT 2024","7205","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Sun Nov 24 16:25:57 GMT 2024","Sun Nov 24 16:26:56 GMT 2024","58696","chromium","09NonAuthorizedUser.spec.js","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"passed","Sun Nov 24 16:23:49 GMT 2024","Sun Nov 24 16:23:56 GMT 2024","7114","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled","To verify, that user can change Password when Two-factor authentication (2FA) is disabled"
"passed","Sun Nov 24 16:20:39 GMT 2024","Sun Nov 24 16:20:45 GMT 2024","6275","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
"passed","Sun Nov 24 16:22:14 GMT 2024","Sun Nov 24 16:22:21 GMT 2024","6949","chromium","04Domains.spec.js","Hosted zones","","","TC_04_03_01| Verify user can create hosted zone","To verify, that user is able to create hosted zone"
"passed","Sun Nov 24 16:23:25 GMT 2024","Sun Nov 24 16:23:33 GMT 2024","8148","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_05 | Verify the user can switch between categories","Verify the user can switch between categories and hide categories."
"passed","Sun Nov 24 16:18:49 GMT 2024","Sun Nov 24 16:18:53 GMT 2024","4359","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Sun Nov 24 16:20:05 GMT 2024","Sun Nov 24 16:20:12 GMT 2024","6747","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Sun Nov 24 16:23:33 GMT 2024","Sun Nov 24 16:23:38 GMT 2024","4274","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_04 | Verify Search articles with Valid Query","Verify that relevant articles are displayed."
"passed","Sun Nov 24 16:22:34 GMT 2024","Sun Nov 24 16:22:39 GMT 2024","5438","chromium","06Blog.spec.js","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"failed","Sun Nov 24 16:22:55 GMT 2024","Sun Nov 24 16:23:01 GMT 2024","6226","chromium","06Blog.spec.js","Blog","","","TC_06_04 | Verify switching between Blog articles By category","Verify switching between Blog articles By category"
"passed","Sun Nov 24 16:24:53 GMT 2024","Sun Nov 24 16:24:56 GMT 2024","2410","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Sun Nov 24 16:19:05 GMT 2024","Sun Nov 24 16:19:10 GMT 2024","4115","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Sun Nov 24 16:25:39 GMT 2024","Sun Nov 24 16:25:44 GMT 2024","4575","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"passed","Sun Nov 24 16:24:02 GMT 2024","Sun Nov 24 16:24:07 GMT 2024","4657","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Sun Nov 24 16:21:48 GMT 2024","Sun Nov 24 16:21:54 GMT 2024","6630","chromium","04Domains.spec.js","DNS Records","","","TC_04_14 | Dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
