"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Dec 02 10:28:52 GMT 2024","Mon Dec 02 10:28:52 GMT 2024","1","chromium","08MyProfile.spec.js","My profile","","","TC_02_03 | User Authorization with 2FA: Use predefined user",""
"passed","Mon Dec 02 10:22:15 GMT 2024","Mon Dec 02 10:22:20 GMT 2024","4932","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting","To verify that user can navigate through Header links."
"passed","Mon Dec 02 10:27:08 GMT 2024","Mon Dec 02 10:27:14 GMT 2024","5450","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_03 | Verify  the autocomplete suggestions displayed correspond to the entered letters in Help Center","Verify that user can see autocomplete suggestions correspond to the entered letters in Help Center"
"passed","Mon Dec 02 10:20:11 GMT 2024","Mon Dec 02 10:20:15 GMT 2024","3922","chromium","01Registration.spec.js","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"passed","Mon Dec 02 10:31:13 GMT 2024","Mon Dec 02 10:31:15 GMT 2024","2245","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_y | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:29:43 GMT 2024","Mon Dec 02 10:29:48 GMT 2024","4277","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons","Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons"
"broken","Mon Dec 02 10:32:21 GMT 2024","Mon Dec 02 10:32:51 GMT 2024","30189","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_z | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:30:10 GMT 2024","Mon Dec 02 10:30:13 GMT 2024","2815","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_a | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:29:01 GMT 2024","Mon Dec 02 10:29:03 GMT 2024","2277","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Mon Dec 02 10:31:02 GMT 2024","Mon Dec 02 10:31:05 GMT 2024","2258","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_u | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:32:52 GMT 2024","Mon Dec 02 10:33:30 GMT 2024","37227","chromium","09NonAuthorizedUser.spec.js","Reset Password","","","TC_09_05_03 | Verify password recovery process","To verify that user can reset the password."
"passed","Mon Dec 02 10:28:58 GMT 2024","Mon Dec 02 10:29:01 GMT 2024","2459","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Mon Dec 02 10:23:17 GMT 2024","Mon Dec 02 10:23:23 GMT 2024","5854","chromium","04Domains.spec.js","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Mon Dec 02 10:20:01 GMT 2024","Mon Dec 02 10:20:04 GMT 2024","2902","chromium","01Registration.spec.js","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Mon Dec 02 10:29:03 GMT 2024","Mon Dec 02 10:29:05 GMT 2024","2378","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Mon Dec 02 10:23:11 GMT 2024","Mon Dec 02 10:23:17 GMT 2024","6021","chromium","04Domains.spec.js","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.","Verify copy button works properly."
"passed","Mon Dec 02 10:33:35 GMT 2024","Mon Dec 02 10:33:41 GMT 2024","5427","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Mon Dec 02 10:30:20 GMT 2024","Mon Dec 02 10:30:23 GMT 2024","2852","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04_e | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Mon Dec 02 10:24:54 GMT 2024","Mon Dec 02 10:25:01 GMT 2024","7391","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields","Verify DNS Record with required fields."
"passed","Mon Dec 02 10:22:52 GMT 2024","Mon Dec 02 10:22:58 GMT 2024","6011","chromium","04Domains.spec.js","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Mon Dec 02 10:26:12 GMT 2024","Mon Dec 02 10:26:18 GMT 2024","6039","chromium","06Blog.spec.js","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"passed","Mon Dec 02 10:20:38 GMT 2024","Mon Dec 02 10:20:42 GMT 2024","4127","chromium","02Authorization.spec.js","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Mon Dec 02 10:28:24 GMT 2024","Mon Dec 02 10:28:30 GMT 2024","6022","chromium","08MyProfile.spec.js","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Mon Dec 02 10:27:36 GMT 2024","Mon Dec 02 10:27:47 GMT 2024","11022","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article","Verify that relevant articles are displayed."
"passed","Mon Dec 02 10:23:43 GMT 2024","Mon Dec 02 10:23:50 GMT 2024","6871","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME","Verify DNS Record created with all fields."
"passed","Mon Dec 02 10:29:50 GMT 2024","Mon Dec 02 10:29:52 GMT 2024","2276","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Mon Dec 02 10:25:45 GMT 2024","Mon Dec 02 10:25:51 GMT 2024","6066","chromium","04Domains.spec.js","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone","To verify, that user is able to delete hosted zone"
"passed","Mon Dec 02 10:22:48 GMT 2024","Mon Dec 02 10:22:52 GMT 2024","4641","chromium","03Navigation.spec.js","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader","To verify that user can navigate to Home page from fromHeader."
"passed","Mon Dec 02 10:26:45 GMT 2024","Mon Dec 02 10:26:58 GMT 2024","13203","chromium","06Blog.spec.js","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
