"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 04:37:01 GMT 2024","Tue Dec 03 04:37:10 GMT 2024","8445","chromium","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX","Verify DNS Record created with all fields."
"skipped","Tue Dec 03 04:44:10 GMT 2024","Tue Dec 03 04:44:10 GMT 2024","0","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"passed","Tue Dec 03 04:35:12 GMT 2024","Tue Dec 03 04:35:17 GMT 2024","4967","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Tue Dec 03 04:42:56 GMT 2024","Tue Dec 03 04:43:01 GMT 2024","5162","chromium","08MyProfile.spec.js","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Tue Dec 03 04:42:15 GMT 2024","Tue Dec 03 04:42:20 GMT 2024","5437","chromium","08MyProfile.spec.js","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Tue Dec 03 04:35:43 GMT 2024","Tue Dec 03 04:35:54 GMT 2024","10574","chromium","04Domains.spec.js","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Dec 03 04:44:47 GMT 2024","Tue Dec 03 04:44:51 GMT 2024","3242","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates","Verify that an unauthorized user is redirected to the Login Page from the Certificates Page after clicking the Select button of the OV subscription SSL Сertificates"
"passed","Tue Dec 03 04:46:33 GMT 2024","Tue Dec 03 04:46:39 GMT 2024","6255","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 03 04:43:58 GMT 2024","Tue Dec 03 04:44:03 GMT 2024","4291","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Tue Dec 03 04:35:59 GMT 2024","Tue Dec 03 04:36:07 GMT 2024","8847","chromium","04Domains.spec.js","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".","Visual tests: Dialog ""Create hosted zone"""
"passed","Tue Dec 03 04:31:18 GMT 2024","Tue Dec 03 04:31:21 GMT 2024","3117","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
