"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 05 02:04:05 GMT 2024","Thu Dec 05 02:04:05 GMT 2024","277","webkit","08MyProfile.spec.js","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"passed","Thu Dec 05 01:45:51 GMT 2024","Thu Dec 05 01:45:56 GMT 2024","4830","chromium","02Authorization.spec.js","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Dec 05 01:58:51 GMT 2024","Thu Dec 05 01:58:57 GMT 2024","5638","chromium","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Thu Dec 05 01:43:51 GMT 2024","Thu Dec 05 01:43:55 GMT 2024","4006","chromium","01Registration.spec.js","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Dec 05 01:54:08 GMT 2024","Thu Dec 05 01:54:13 GMT 2024","5842","chromium","08MyProfile.spec.js","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Thu Dec 05 02:00:06 GMT 2024","Thu Dec 05 02:00:10 GMT 2024","4676","chromium","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Thu Dec 05 01:55:06 GMT 2024","Thu Dec 05 01:55:11 GMT 2024","5404","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Dec 05 01:46:13 GMT 2024","Thu Dec 05 01:46:19 GMT 2024","5084","chromium","03Navigation.spec.js","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Thu Dec 05 01:51:46 GMT 2024","Thu Dec 05 01:51:56 GMT 2024","9512","chromium","07HelpCenter.spec.js","Help Center","","","TC_07_01_03 | Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input in Help Center","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Help center search, as well as previous search history when the search field is empty."
"failed","Thu Dec 05 02:02:36 GMT 2024","Thu Dec 05 02:02:36 GMT 2024","293","webkit","04Domains.spec.js","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"failed","Thu Dec 05 02:09:10 GMT 2024","Thu Dec 05 02:09:11 GMT 2024","280","webkit","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_03 | Verify unauthorized users can submit the ""Contact Us"" form for ""Domains"" Type",""
"failed","Thu Dec 05 02:10:56 GMT 2024","Thu Dec 05 02:10:56 GMT 2024","277","webkit","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants",""
"failed","Thu Dec 05 02:07:06 GMT 2024","Thu Dec 05 02:07:06 GMT 2024","289","webkit","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Thu Dec 05 02:10:32 GMT 2024","Thu Dec 05 02:10:32 GMT 2024","265","webkit","09NonAuthorizedUser.spec.js","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities",""
"failed","Thu Dec 05 02:09:34 GMT 2024","Thu Dec 05 02:09:34 GMT 2024","279","webkit","09NonAuthorizedUser.spec.js","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type",""
"failed","Thu Dec 05 02:04:08 GMT 2024","Thu Dec 05 02:04:08 GMT 2024","271","webkit","08MyProfile.spec.js","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"failed","Thu Dec 05 02:03:22 GMT 2024","Thu Dec 05 02:03:23 GMT 2024","265","webkit","04Domains.spec.js","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC",""
"passed","Thu Dec 05 01:54:56 GMT 2024","Thu Dec 05 01:54:58 GMT 2024","2446","chromium","09NonAuthorizedUser.spec.js","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Dec 05 01:54:19 GMT 2024","Thu Dec 05 01:54:28 GMT 2024","9525","chromium","08MyProfile.spec.js","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user receives notifications after Account deletion is canceled"
"passed","Thu Dec 05 01:49:35 GMT 2024","Thu Dec 05 01:49:43 GMT 2024","7872","chromium","04Domains.spec.js","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Thu Dec 05 01:50:00 GMT 2024","Thu Dec 05 01:50:08 GMT 2024","7750","chromium","04Domains.spec.js","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".","Visual tests: Dialog ""Add new DNS-record"""
