"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 05 04:52:25 GMT 2024","Thu Dec 05 04:52:57 GMT 2024","31511","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"broken","Thu Dec 05 04:16:42 GMT 2024","Thu Dec 05 04:17:14 GMT 2024","31579","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones",""
"passed","Thu Dec 05 06:33:32 GMT 2024","Thu Dec 05 06:33:45 GMT 2024","12539","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Thu Dec 05 06:29:27 GMT 2024","Thu Dec 05 06:29:35 GMT 2024","7943","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality","To verify Check email form elements and ""Back to Forgot password"" functionality."
"broken","Thu Dec 05 04:45:56 GMT 2024","Thu Dec 05 04:46:27 GMT 2024","31560","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
"broken","Thu Dec 05 04:32:56 GMT 2024","Thu Dec 05 04:33:28 GMT 2024","31547","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch",""
"broken","Thu Dec 05 04:13:18 GMT 2024","Thu Dec 05 04:13:50 GMT 2024","31501","webkit","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Thu Dec 05 06:31:15 GMT 2024","Thu Dec 05 06:31:23 GMT 2024","8263","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the Bulk transfer button on Transfer Page"
"broken","Thu Dec 05 04:36:11 GMT 2024","Thu Dec 05 04:36:43 GMT 2024","31510","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"broken","Thu Dec 05 05:39:33 GMT 2024","Thu Dec 05 05:41:07 GMT 2024","93995","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters","To verify the user gets alert-message when searches in the Help Center with random characters."
"broken","Thu Dec 05 05:28:27 GMT 2024","Thu Dec 05 05:30:01 GMT 2024","93878","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category","Verify switching between Blog articles By category"
