"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:14:45 GMT 2024","Fri Dec 13 19:14:46 GMT 2024","315","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page",""
"failed","Fri Dec 13 19:15:10 GMT 2024","Fri Dec 13 19:15:11 GMT 2024","301","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)",""
"failed","Fri Dec 13 19:11:37 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","295","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.",""
"skipped","Fri Dec 13 19:11:48 GMT 2024","Fri Dec 13 19:11:48 GMT 2024","0","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"failed","Fri Dec 13 19:15:30 GMT 2024","Fri Dec 13 19:15:30 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied",""
"skipped","Fri Dec 13 19:11:38 GMT 2024","Fri Dec 13 19:11:38 GMT 2024","0","webkit","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting",""
"failed","Fri Dec 13 19:20:02 GMT 2024","Fri Dec 13 19:20:03 GMT 2024","293","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming",""
"skipped","Fri Dec 13 19:13:32 GMT 2024","Fri Dec 13 19:13:32 GMT 2024","1","webkit","","Help Center","","","TC_07_01_05 | Verify the user can switch between categories",""
"failed","Fri Dec 13 19:18:58 GMT 2024","Fri Dec 13 19:18:58 GMT 2024","310","webkit","","Contact Us","","","TC_09_06_04 | Verify unauthorized users can submit the ""Contact Us"" form for ""Pre-Sales"" Type",""
"failed","Fri Dec 13 19:16:29 GMT 2024","Fri Dec 13 19:16:29 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""a"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:15:59 GMT 2024","Fri Dec 13 19:16:00 GMT 2024","309","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on Bulk transfer button on Transfer Page",""
