"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Dec 13 19:37:37 GMT 2024","Fri Dec 13 19:37:38 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page",""
"failed","Fri Dec 13 19:34:24 GMT 2024","Fri Dec 13 19:34:24 GMT 2024","298","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"failed","Fri Dec 13 19:38:07 GMT 2024","Fri Dec 13 19:38:07 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_01_08|  Verify that non authorized user can navigate through  ContactUs page",""
"skipped","Fri Dec 13 19:34:41 GMT 2024","Fri Dec 13 19:34:41 GMT 2024","0","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader",""
"failed","Fri Dec 13 19:34:29 GMT 2024","Fri Dec 13 19:34:29 GMT 2024","299","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements",""
"failed","Fri Dec 13 19:37:17 GMT 2024","Fri Dec 13 19:37:18 GMT 2024","303","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency",""
"failed","Fri Dec 13 19:41:21 GMT 2024","Fri Dec 13 19:41:21 GMT 2024","298","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""w"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:36:53 GMT 2024","Fri Dec 13 19:36:54 GMT 2024","299","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"failed","Fri Dec 13 19:37:00 GMT 2024","Fri Dec 13 19:37:01 GMT 2024","306","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)",""
"failed","Fri Dec 13 19:33:59 GMT 2024","Fri Dec 13 19:34:00 GMT 2024","310","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email",""
"failed","Fri Dec 13 19:34:50 GMT 2024","Fri Dec 13 19:34:51 GMT 2024","309","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".",""
