"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo",""
"failed","Fri Dec 13 19:51:17 GMT 2024","Fri Dec 13 19:51:18 GMT 2024","315","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @",""
"failed","Fri Dec 13 19:52:14 GMT 2024","Fri Dec 13 19:52:14 GMT 2024","302","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields A",""
"failed","Fri Dec 13 19:56:20 GMT 2024","Fri Dec 13 19:56:20 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page",""
"failed","Fri Dec 13 19:56:00 GMT 2024","Fri Dec 13 19:56:00 GMT 2024","311","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header",""
"failed","Fri Dec 13 19:54:13 GMT 2024","Fri Dec 13 19:54:14 GMT 2024","300","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)",""
"failed","Fri Dec 13 19:53:16 GMT 2024","Fri Dec 13 19:53:16 GMT 2024","307","webkit","","Hosted zones","","","TC_04_03_02 | Verify user can delete hosted zone",""
"failed","Fri Dec 13 19:55:45 GMT 2024","Fri Dec 13 19:55:45 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied",""
"failed","Fri Dec 13 19:58:31 GMT 2024","Fri Dec 13 19:58:31 GMT 2024","285","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""w"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:53:12 GMT 2024","Fri Dec 13 19:53:12 GMT 2024","321","webkit","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_09 |  Verify that user can navigate through Header links Help center",""
"failed","Fri Dec 13 19:54:38 GMT 2024","Fri Dec 13 19:54:38 GMT 2024","311","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section",""
"failed","Fri Dec 13 19:59:29 GMT 2024","Fri Dec 13 19:59:29 GMT 2024","306","webkit","","Contact Us","","","TC_09_06_08 | Verify unauthorized users can submit the ""Contact Us"" form for ""Affiliate"" Type",""
"failed","Fri Dec 13 19:59:44 GMT 2024","Fri Dec 13 19:59:44 GMT 2024","296","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type",""
"failed","Fri Dec 13 19:57:23 GMT 2024","Fri Dec 13 19:57:23 GMT 2024","300","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:51:12 GMT 2024","Fri Dec 13 19:51:13 GMT 2024","319","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email",""
"failed","Fri Dec 13 19:52:03 GMT 2024","Fri Dec 13 19:52:04 GMT 2024","322","webkit","","DNS Records","","","TC_04_13 | Visual Test: Verify text in dialog ""Create hosted zone"".",""
"failed","Fri Dec 13 20:00:13 GMT 2024","Fri Dec 13 20:00:13 GMT 2024","311","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming",""
"failed","Fri Dec 13 19:57:18 GMT 2024","Fri Dec 13 19:57:18 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 20:00:37 GMT 2024","Fri Dec 13 20:00:38 GMT 2024","291","webkit","","Report Abuse submission for each type of report","","","TC_09_07_08| Verify unauthorized user can submit the ""Report Abuse"" form for CSAM (Child Abuse)",""
"failed","Fri Dec 13 19:51:37 GMT 2024","Fri Dec 13 19:51:37 GMT 2024","308","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality",""
"failed","Fri Dec 13 19:57:08 GMT 2024","Fri Dec 13 19:57:09 GMT 2024","298","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""f"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:54:17 GMT 2024","Fri Dec 13 19:54:17 GMT 2024","299","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu",""
"failed","Fri Dec 13 19:51:53 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","301","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.",""
"failed","Fri Dec 13 19:53:26 GMT 2024","Fri Dec 13 19:53:26 GMT 2024","312","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input",""
"failed","Fri Dec 13 19:55:55 GMT 2024","Fri Dec 13 19:55:55 GMT 2024","288","webkit","","Unauthorized user","","","TC_09_03_03 | Verify that activating the 'Hide registered' toggle displays only unregistered domains in the search results, 'Reset' and 'X' buttons",""
"failed","Fri Dec 13 19:54:03 GMT 2024","Fri Dec 13 19:54:04 GMT 2024","303","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click",""
"failed","Fri Dec 13 20:00:42 GMT 2024","Fri Dec 13 20:00:43 GMT 2024","300","webkit","","Report Abuse submission for each type of report","","","TC_09_07_09| Verify unauthorized user can submit the ""Report Abuse"" form for Inaccurate Whois",""
"failed","Fri Dec 13 19:56:24 GMT 2024","Fri Dec 13 19:56:25 GMT 2024","288","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the Free subscription SSL Сertificates",""
"failed","Fri Dec 13 19:57:13 GMT 2024","Fri Dec 13 19:57:14 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""g"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 20:00:28 GMT 2024","Fri Dec 13 20:00:28 GMT 2024","300","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities",""
"failed","Fri Dec 13 19:54:10 GMT 2024","Fri Dec 13 19:54:10 GMT 2024","314","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)",""
"failed","Fri Dec 13 20:00:32 GMT 2024","Fri Dec 13 20:00:33 GMT 2024","293","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint",""
"failed","Fri Dec 13 19:53:22 GMT 2024","Fri Dec 13 19:53:23 GMT 2024","306","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC",""
"failed","Fri Dec 13 19:55:01 GMT 2024","Fri Dec 13 19:55:01 GMT 2024","302","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page",""
"failed","Fri Dec 13 19:58:21 GMT 2024","Fri Dec 13 19:58:22 GMT 2024","290","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""u"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_01 |  Verify that user can navigate through Header links Registered domains",""
"failed","Fri Dec 13 19:55:16 GMT 2024","Fri Dec 13 19:55:16 GMT 2024","281","webkit","","Unauthorized user","","","TC_09_01_07|  Verify that non authorized user can navigate through  ReportAbuse page",""
"failed","Fri Dec 13 19:52:37 GMT 2024","Fri Dec 13 19:52:38 GMT 2024","297","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields",""
"skipped","Fri Dec 13 19:55:36 GMT 2024","Fri Dec 13 19:55:36 GMT 2024","1","webkit","","Unauthorized user","","","TC_09_03_05 | Verify unauthorized user can select TLD in different categories and see relevant search results",""
"failed","Fri Dec 13 19:59:15 GMT 2024","Fri Dec 13 19:59:15 GMT 2024","282","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"failed","Fri Dec 13 19:53:33 GMT 2024","Fri Dec 13 19:53:33 GMT 2024","299","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category",""
"failed","Fri Dec 13 19:52:55 GMT 2024","Fri Dec 13 19:52:55 GMT 2024","342","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields NS. Ignored optional fields",""
"failed","Fri Dec 13 20:00:18 GMT 2024","Fri Dec 13 20:00:18 GMT 2024","289","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity",""
"failed","Fri Dec 13 19:55:30 GMT 2024","Fri Dec 13 19:55:30 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_05_01 | Verify ""Forgot Password"" page elements and ""Back to Log in"" functionality",""
"failed","Fri Dec 13 19:57:47 GMT 2024","Fri Dec 13 19:57:48 GMT 2024","300","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:54:31 GMT 2024","Fri Dec 13 19:54:31 GMT 2024","309","webkit","","My profile","","","TC_08_02_01 | Verify the General info tab contents General info, Password, Two-factor authentication (2FA), Currency",""
"failed","Fri Dec 13 19:59:54 GMT 2024","Fri Dec 13 19:59:54 GMT 2024","298","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type",""
"failed","Fri Dec 13 19:51:22 GMT 2024","Fri Dec 13 19:51:23 GMT 2024","298","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain",""
"failed","Fri Dec 13 19:55:11 GMT 2024","Fri Dec 13 19:55:11 GMT 2024","297","webkit","","Unauthorized user","","","TC_09_01_06|  Verify that non authorized user can navigate through  HelpCenter page",""
"failed","Fri Dec 13 19:54:34 GMT 2024","Fri Dec 13 19:54:35 GMT 2024","307","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_02_03 | Verify navigation to Home page from fromHeader",""
"failed","Fri Dec 13 19:55:40 GMT 2024","Fri Dec 13 19:55:40 GMT 2024","299","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"failed","Fri Dec 13 19:54:46 GMT 2024","Fri Dec 13 19:54:46 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page",""
"failed","Fri Dec 13 19:52:17 GMT 2024","Fri Dec 13 19:52:17 GMT 2024","307","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA",""
"failed","Fri Dec 13 19:52:34 GMT 2024","Fri Dec 13 19:52:34 GMT 2024","313","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT",""
"failed","Fri Dec 13 19:56:34 GMT 2024","Fri Dec 13 19:56:35 GMT 2024","316","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the OV subscription SSL Сertificates",""
"skipped","Fri Dec 13 19:52:04 GMT 2024","Fri Dec 13 19:52:04 GMT 2024","0","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"failed","Fri Dec 13 19:53:05 GMT 2024","Fri Dec 13 19:53:05 GMT 2024","333","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
"failed","Fri Dec 13 19:53:39 GMT 2024","Fri Dec 13 19:53:40 GMT 2024","314","webkit","","Blog","","","TC_06_01 | Verify Blog search functionality with random characters",""
"failed","Fri Dec 13 19:52:41 GMT 2024","Fri Dec 13 19:52:41 GMT 2024","298","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields AAAA. Ignored optional fields",""
"failed","Fri Dec 13 19:52:00 GMT 2024","Fri Dec 13 19:52:00 GMT 2024","318","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page",""
"failed","Fri Dec 13 19:58:26 GMT 2024","Fri Dec 13 19:58:27 GMT 2024","306","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo",""
"failed","Fri Dec 13 19:58:16 GMT 2024","Fri Dec 13 19:58:17 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates",""
"failed","Fri Dec 13 19:57:33 GMT 2024","Fri Dec 13 19:57:33 GMT 2024","288","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:55:25 GMT 2024","Fri Dec 13 19:55:26 GMT 2024","310","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)",""
"failed","Fri Dec 13 19:52:31 GMT 2024","Fri Dec 13 19:52:31 GMT 2024","325","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields NS",""
"failed","Fri Dec 13 19:58:36 GMT 2024","Fri Dec 13 19:58:36 GMT 2024","296","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:53:09 GMT 2024","Fri Dec 13 19:53:09 GMT 2024","326","webkit","","DNS Records","","","TC_04_14 | Visual Test: Verify text in dialog ""Add new DNS-record"".",""
"failed","Fri Dec 13 19:56:59 GMT 2024","Fri Dec 13 19:56:59 GMT 2024","303","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""d"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_05 |  Verify that user can navigate through Header links Hosting",""
"failed","Fri Dec 13 19:59:39 GMT 2024","Fri Dec 13 19:59:39 GMT 2024","301","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type",""
"failed","Fri Dec 13 19:58:12 GMT 2024","Fri Dec 13 19:58:12 GMT 2024","288","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:54:27 GMT 2024","Fri Dec 13 19:54:28 GMT 2024","305","webkit","","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.",""
"failed","Fri Dec 13 19:57:42 GMT 2024","Fri Dec 13 19:57:43 GMT 2024","304","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""m"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:56:39 GMT 2024","Fri Dec 13 19:56:40 GMT 2024","287","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the EV subscription SSL Сertificates",""
"failed","Fri Dec 13 19:54:24 GMT 2024","Fri Dec 13 19:54:24 GMT 2024","308","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page",""
"failed","Fri Dec 13 19:54:56 GMT 2024","Fri Dec 13 19:54:56 GMT 2024","307","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page",""
"failed","Fri Dec 13 19:55:35 GMT 2024","Fri Dec 13 19:55:36 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality",""
"failed","Fri Dec 13 19:58:46 GMT 2024","Fri Dec 13 19:58:46 GMT 2024","286","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:52:48 GMT 2024","Fri Dec 13 19:52:48 GMT 2024","327","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields",""
"failed","Fri Dec 13 19:54:20 GMT 2024","Fri Dec 13 19:54:21 GMT 2024","308","webkit","","My profile","","","TC_08_04_01 | Verify user can manage Account Notifications settings",""
"failed","Fri Dec 13 19:57:04 GMT 2024","Fri Dec 13 19:57:04 GMT 2024","281","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:52:20 GMT 2024","Fri Dec 13 19:52:21 GMT 2024","303","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields CNAME",""
"failed","Fri Dec 13 20:01:02 GMT 2024","Fri Dec 13 20:01:02 GMT 2024","290","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP",""
"failed","Fri Dec 13 19:56:49 GMT 2024","Fri Dec 13 19:56:49 GMT 2024","289","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:57:38 GMT 2024","Fri Dec 13 19:57:38 GMT 2024","308","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:53:43 GMT 2024","Fri Dec 13 19:53:43 GMT 2024","303","webkit","","Help Center","","","TC_07_01_01 | Verify the user can search articles in the Help Center with random characters",""
"failed","Fri Dec 13 19:59:58 GMT 2024","Fri Dec 13 19:59:59 GMT 2024","278","webkit","","Unauthorised user Domain availability Page","","","TC_09_04_04|  Verify unauthorised user must redirect to the login page from Domain availability Page",""
"failed","Fri Dec 13 19:55:50 GMT 2024","Fri Dec 13 19:55:50 GMT 2024","297","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search",""
"failed","Fri Dec 13 19:53:36 GMT 2024","Fri Dec 13 19:53:36 GMT 2024","300","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article",""
"skipped","Fri Dec 13 19:54:14 GMT 2024","Fri Dec 13 19:54:14 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"failed","Fri Dec 13 19:59:49 GMT 2024","Fri Dec 13 19:59:49 GMT 2024","283","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type",""
"failed","Fri Dec 13 19:52:27 GMT 2024","Fri Dec 13 19:52:27 GMT 2024","309","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields MX",""
"failed","Fri Dec 13 19:53:53 GMT 2024","Fri Dec 13 19:53:53 GMT 2024","318","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections",""
"failed","Fri Dec 13 19:58:51 GMT 2024","Fri Dec 13 19:58:51 GMT 2024","305","webkit","","Reset Password","","","TC_09_05_03 | Verify password recovery process",""
"failed","Fri Dec 13 19:59:20 GMT 2024","Fri Dec 13 19:59:20 GMT 2024","287","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type",""
"failed","Fri Dec 13 19:56:10 GMT 2024","Fri Dec 13 19:56:10 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header",""
"failed","Fri Dec 13 19:56:29 GMT 2024","Fri Dec 13 19:56:30 GMT 2024","314","webkit","","Unauthorized user","","","TC_09_04_02 | Verify unauthorised user is redirected to the Login Page from the DV subscription SSL Сertificates",""
"skipped","Fri Dec 13 19:54:14 GMT 2024","Fri Dec 13 19:54:14 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu",""
"failed","Fri Dec 13 19:56:05 GMT 2024","Fri Dec 13 19:56:05 GMT 2024","305","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header",""
"failed","Fri Dec 13 19:58:02 GMT 2024","Fri Dec 13 19:58:02 GMT 2024","280","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"failed","Fri Dec 13 19:57:52 GMT 2024","Fri Dec 13 19:57:52 GMT 2024","286","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty",""
"skipped","Fri Dec 13 19:51:54 GMT 2024","Fri Dec 13 19:51:54 GMT 2024","0","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS",""
