"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 06:09:40 GMT 2024","Sun Dec 15 06:09:56 GMT 2024","15621","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields DS","Verify DNS Record created with all fields."
"skipped","Sun Dec 15 06:23:34 GMT 2024","Sun Dec 15 06:23:34 GMT 2024","0","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu",""
"passed","Sun Dec 15 06:33:35 GMT 2024","Sun Dec 15 06:33:46 GMT 2024","11774","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:24:17 GMT 2024","Sun Dec 15 06:24:30 GMT 2024","12950","webkit","","My profile","","","TC_08_08 | Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added.","To Verify Modal Window “Top Up - by Bank Card” opens with Relevant buttons if no cards are added."
"passed","Sun Dec 15 06:28:48 GMT 2024","Sun Dec 15 06:28:54 GMT 2024","6608","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosting link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosting link in header"
"passed","Sun Dec 15 06:31:30 GMT 2024","Sun Dec 15 06:31:37 GMT 2024","7667","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:32:08 GMT 2024","Sun Dec 15 06:32:20 GMT 2024","11226","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:28:41 GMT 2024","Sun Dec 15 06:28:48 GMT 2024","6880","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Sun Dec 15 06:25:33 GMT 2024","Sun Dec 15 06:25:41 GMT 2024","8232","webkit","","Unauthorized user","","","TC_09_01_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Sun Dec 15 06:03:05 GMT 2024","Sun Dec 15 06:03:11 GMT 2024","5300","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Sun Dec 15 06:54:50 GMT 2024","Sun Dec 15 06:54:59 GMT 2024","9360","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:14:48 GMT 2024","Sun Dec 15 06:15:11 GMT 2024","22968","webkit","","Blog","","","TC_06_04 | Verify switching between Blog articles By category","Verify switching between Blog articles By category"
"broken","Sun Dec 15 06:22:02 GMT 2024","Sun Dec 15 06:23:05 GMT 2024","62808","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled","To verify, that user can change Password when Two-factor authentication (2FA) is disabled"
"passed","Sun Dec 15 06:02:51 GMT 2024","Sun Dec 15 06:02:59 GMT 2024","8512","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Sun Dec 15 06:32:59 GMT 2024","Sun Dec 15 06:33:09 GMT 2024","10469","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Sun Dec 15 06:32:20 GMT 2024","Sun Dec 15 06:32:31 GMT 2024","11500","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""p"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Sun Dec 15 06:08:27 GMT 2024","Sun Dec 15 06:08:27 GMT 2024","0","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"passed","Sun Dec 15 06:27:06 GMT 2024","Sun Dec 15 06:27:11 GMT 2024","5778","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"broken","Sun Dec 15 06:36:58 GMT 2024","Sun Dec 15 06:37:58 GMT 2024","60490","webkit","","Contact Us","","","TC_09_06_01 | Verify unauthorized users can submit the ""Contact Us"" form for ""Account Management & Access"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Sun Dec 15 06:11:34 GMT 2024","Sun Dec 15 06:11:50 GMT 2024","15996","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields DS. Ignored optional fields","Verify DNS Record with required fields."
