"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Dec 17 03:28:54 GMT 2024","Tue Dec 17 03:28:54 GMT 2024","0","webkit","","Unauthorized user","","","TC_09_03_06 | Verify that user can select several TLDs and see relevant search results",""
"passed","Tue Dec 17 04:01:38 GMT 2024","Tue Dec 17 04:01:47 GMT 2024","8681","webkit","","Contact Us","","","TC_09_06_13 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feedback"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:18:45 GMT 2024","Tue Dec 17 03:19:00 GMT 2024","14608","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Tue Dec 17 03:23:47 GMT 2024","Tue Dec 17 03:24:01 GMT 2024","13207","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Tue Dec 17 03:28:47 GMT 2024","Tue Dec 17 03:28:54 GMT 2024","7529","webkit","","Unauthorized user","","","TC_09_05_02 | Verify ""Check email"" form elements and ""Back to Forgot password"" functionality","To verify Check email form elements and ""Back to Forgot password"" functionality."
"passed","Tue Dec 17 03:24:25 GMT 2024","Tue Dec 17 03:24:39 GMT 2024","13797","webkit","","My profile","","","TC_08_06 | Verify user can change currency from USD ($) to EUR (€) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Dec 17 04:03:14 GMT 2024","Tue Dec 17 04:03:29 GMT 2024","14329","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 04:01:24 GMT 2024","Tue Dec 17 04:01:38 GMT 2024","13725","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"skipped","Tue Dec 17 03:14:47 GMT 2024","Tue Dec 17 03:14:47 GMT 2024","1","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"skipped","Tue Dec 17 03:24:01 GMT 2024","Tue Dec 17 03:24:01 GMT 2024","0","webkit","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Tue Dec 17 03:20:33 GMT 2024","Tue Dec 17 03:20:53 GMT 2024","20097","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
"passed","Tue Dec 17 04:02:15 GMT 2024","Tue Dec 17 04:02:30 GMT 2024","15663","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:36:36 GMT 2024","Tue Dec 17 03:36:48 GMT 2024","11425","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""w"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:15:27 GMT 2024","Tue Dec 17 03:15:42 GMT 2024","15576","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields AAAA","Verify DNS Record created with all fields."
"passed","Tue Dec 17 03:17:28 GMT 2024","Tue Dec 17 03:17:44 GMT 2024","15603","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Tue Dec 17 03:36:48 GMT 2024","Tue Dec 17 03:36:59 GMT 2024","10671","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""x"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:08:20 GMT 2024","Tue Dec 17 03:08:29 GMT 2024","9114","webkit","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Tue Dec 17 03:24:39 GMT 2024","Tue Dec 17 03:24:53 GMT 2024","13684","webkit","","My profile","","","TC_08_06 | Verify user can change currency from EUR (€) to USD ($) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Tue Dec 17 03:34:18 GMT 2024","Tue Dec 17 03:34:30 GMT 2024","12513","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:34:45 GMT 2024","Tue Dec 17 03:34:56 GMT 2024","11030","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""l"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:27:21 GMT 2024","Tue Dec 17 03:27:28 GMT 2024","7343","webkit","","Unauthorized user","","","TC_09_01_04|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"broken","Tue Dec 17 03:58:06 GMT 2024","Tue Dec 17 03:59:06 GMT 2024","60488","webkit","","Contact Us","","","TC_09_06_10 | Verify unauthorized users can submit the ""Contact Us"" form for ""Feature/Product Request"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:26:05 GMT 2024","Tue Dec 17 03:26:26 GMT 2024","20317","webkit","","My profile","","","TC_08_04_02 |  Verify user receives notifications after Account deletion is canceled","To verify, that user receives notifications after Account deletion is canceled"
"passed","Tue Dec 17 03:33:08 GMT 2024","Tue Dec 17 03:33:20 GMT 2024","11829","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:12:16 GMT 2024","Tue Dec 17 03:12:32 GMT 2024","15265","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:27:28 GMT 2024","Tue Dec 17 03:27:34 GMT 2024","5496","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Tue Dec 17 03:13:09 GMT 2024","Tue Dec 17 03:13:21 GMT 2024","11869","webkit","","Navigation","","","TC_03_01_10 |  Verify that user can navigate through Header links Home","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:14:01 GMT 2024","Tue Dec 17 03:14:19 GMT 2024","17830","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Tue Dec 17 03:32:57 GMT 2024","Tue Dec 17 03:33:08 GMT 2024","10343","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:22:10 GMT 2024","Tue Dec 17 03:22:24 GMT 2024","14094","webkit","","Help Center","","","TC_07_02_01 | Verify the user can navigate through the Knowledge Base sections","Verify user can navigate through the Knowledge Base sections by clicking on headings"
"passed","Tue Dec 17 03:49:07 GMT 2024","Tue Dec 17 03:49:23 GMT 2024","15260","webkit","","Contact Us","","","TC_09_06_06 | Verify unauthorized users can submit the ""Contact Us"" form for ""SSL"" Type","Verify unauthorized users can submit the ""Contact Us"" form"
"passed","Tue Dec 17 03:27:06 GMT 2024","Tue Dec 17 03:27:12 GMT 2024","6208","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Tue Dec 17 03:35:56 GMT 2024","Tue Dec 17 03:36:08 GMT 2024","12122","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 04:02:45 GMT 2024","Tue Dec 17 04:02:59 GMT 2024","13364","webkit","","Report Abuse submission for each type of report","","","TC_09_07_04| Verify unauthorized user can submit the ""Report Abuse"" form for Hacking Activity","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:33:28 GMT 2024","Tue Dec 17 03:33:41 GMT 2024","12444","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:31:41 GMT 2024","Tue Dec 17 03:31:49 GMT 2024","7576","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"passed","Tue Dec 17 04:04:43 GMT 2024","Tue Dec 17 04:04:57 GMT 2024","14074","webkit","","Report Abuse submission for each type of report","","","TC_09_07_012| Verify unauthorized user can submit the ""Report Abuse"" form for Court Order","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:11:17 GMT 2024","Tue Dec 17 03:11:32 GMT 2024","15217","webkit","","Navigation","","","TC_03_01_02 |  Verify that user can navigate through Header links Hosted zones","To verify that user can navigate through Header links."
"passed","Tue Dec 17 04:04:13 GMT 2024","Tue Dec 17 04:04:28 GMT 2024","14535","webkit","","Report Abuse submission for each type of report","","","TC_09_07_010| Verify unauthorized user can submit the ""Report Abuse"" form for Criminal or Civil Subpoena","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 04:04:57 GMT 2024","Tue Dec 17 04:05:11 GMT 2024","14052","webkit","","Report Abuse submission for each type of report","","","TC_09_07_013| Verify unauthorized user can submit the ""Report Abuse"" form for UDRP","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Tue Dec 17 03:20:22 GMT 2024","Tue Dec 17 03:20:33 GMT 2024","10693","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"passed","Tue Dec 17 03:34:05 GMT 2024","Tue Dec 17 03:34:18 GMT 2024","12441","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Tue Dec 17 03:11:46 GMT 2024","Tue Dec 17 03:12:01 GMT 2024","15201","webkit","","Navigation","","","TC_03_01_04 |  Verify that user can navigate through Header links WHOIS","To verify that user can navigate through Header links."
"passed","Tue Dec 17 03:13:21 GMT 2024","Tue Dec 17 03:13:33 GMT 2024","12233","webkit","","Navigation","","","TC_03_02_01 | Verify navigation to Home page from fromFooterLogo","To verify that user can navigate to Home page from fromFooterLogo."
"passed","Tue Dec 17 03:08:29 GMT 2024","Tue Dec 17 03:08:35 GMT 2024","5531","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Tue Dec 17 04:04:28 GMT 2024","Tue Dec 17 04:04:43 GMT 2024","15215","webkit","","Report Abuse submission for each type of report","","","TC_09_07_011| Verify unauthorized user can submit the ""Report Abuse"" form for Warrants","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"skipped","Tue Dec 17 03:19:00 GMT 2024","Tue Dec 17 03:19:00 GMT 2024","0","webkit","","DNS Records","","","TC_04_07 | Verify user can delete DNS record in hosted zone",""
