"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_09 | Verify unauthorized users can submit the ""Contact Us"" form for ""Bug/Technical Issue"" Type",""
"passed","Wed Dec 18 00:45:41 GMT 2024","Wed Dec 18 00:45:52 GMT 2024","10900","webkit","","Navigation","","","TC_03_01_08 |  Verify that user can navigate through Header links Logo","To verify that user can navigate through Header links."
"passed","Wed Dec 18 00:46:57 GMT 2024","Wed Dec 18 00:47:17 GMT 2024","19795","webkit","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Dec 18 00:50:17 GMT 2024","Wed Dec 18 00:50:34 GMT 2024","17443","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields A. Ignored optional fields","Verify DNS Record with required fields."
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_02 | Verify unauthorized users can submit the ""Contact Us"" form for ""Payment, Sales & Billing Issues"" Type",""
"passed","Wed Dec 18 00:45:29 GMT 2024","Wed Dec 18 00:45:41 GMT 2024","12643","webkit","","Navigation","","","TC_03_01_07 |  Verify that user can navigate through Header links Blog","To verify that user can navigate through Header links."
"passed","Wed Dec 18 01:03:48 GMT 2024","Wed Dec 18 01:03:56 GMT 2024","8044","webkit","","Unauthorized user","","","TC_09_03_01| Verify unauthorized user can open modal window with filters for advanced search","Verify unauthorized user can open modal window with filters for advanced search"
"passed","Wed Dec 18 01:10:06 GMT 2024","Wed Dec 18 01:10:19 GMT 2024","12729","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""t"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:06:41 GMT 2024","Wed Dec 18 01:06:54 GMT 2024","12296","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""b"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:10:58 GMT 2024","Wed Dec 18 01:11:07 GMT 2024","8905","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""y"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:09:53 GMT 2024","Wed Dec 18 01:10:06 GMT 2024","13046","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""s"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 00:41:51 GMT 2024","Wed Dec 18 00:43:13 GMT 2024","81822","webkit","","Registration","","","TC_01_01_03 | Verify redirection to ""Check your email"" form and its elements","Verify redirection to ""Check your email"" form and its elements"
"passed","Wed Dec 18 01:02:17 GMT 2024","Wed Dec 18 01:02:25 GMT 2024","7234","webkit","","Unauthorized user","","","TC_09_01_03|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Dec 18 01:07:15 GMT 2024","Wed Dec 18 01:07:27 GMT 2024","12276","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""e"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:08:28 GMT 2024","Wed Dec 18 01:08:37 GMT 2024","9001","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""k"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:05:18 GMT 2024","Wed Dec 18 01:05:25 GMT 2024","7382","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Registered domains link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Registered domains link in header"
"passed","Wed Dec 18 01:08:58 GMT 2024","Wed Dec 18 01:09:10 GMT 2024","12095","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""n"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 00:59:02 GMT 2024","Wed Dec 18 00:59:16 GMT 2024","13721","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from USD ($) to EUR (€)","To verify that the user can change currency"
"passed","Wed Dec 18 01:05:25 GMT 2024","Wed Dec 18 01:05:32 GMT 2024","6669","webkit","","Unauthorized user","","","TC_09_04_01 | Verify unauthorised user is redirected to the Login Page by clicking on the Hosted zones link in header","Verify an unauthorized user is redirected to the Login Page by clicking on the Hosted zones link in header"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_05 | Verify unauthorized users can submit the ""Contact Us"" form for ""Hosting"" Type",""
"skipped","Wed Dec 18 00:47:47 GMT 2024","Wed Dec 18 00:47:47 GMT 2024","0","webkit","","DNS Records","","","TC_04_11 | ""Add new DNS-record modal - verify copy button adds text to clipboard.",""
"passed","Wed Dec 18 00:59:56 GMT 2024","Wed Dec 18 01:00:12 GMT 2024","16207","webkit","","My profile","","","TC_08_07 | Verify that the user can log out of the account from the Profile Menu","To verify, that the user can log out of the account from the Profile Menu"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","1","webkit","","Contact Us","","","TC_09_06_11 | Verify unauthorized users can submit the ""Contact Us"" form for ""Commercial Matters"" Type",""
"passed","Wed Dec 18 00:46:28 GMT 2024","Wed Dec 18 00:46:40 GMT 2024","11652","webkit","","Navigation","","","TC_03_02_02 | Verify navigation to Home page from fromFooterDomainSearch","To verify that user can navigate to Home page from fromFooterDomainSearch."
"passed","Wed Dec 18 00:47:47 GMT 2024","Wed Dec 18 00:48:00 GMT 2024","12936","webkit","","DNS Records","","","TC_04_12 | ""Add new DNS-record modal - verify info tooltip appeared.","Verify copy button works properly."
"passed","Wed Dec 18 01:14:39 GMT 2024","Wed Dec 18 01:14:52 GMT 2024","13483","webkit","","Report Abuse submission for each type of report","","","TC_09_07_06| Verify unauthorized user can submit the ""Report Abuse"" form for Other Illegal Activities","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 01:08:19 GMT 2024","Wed Dec 18 01:08:28 GMT 2024","8359","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""j"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 00:41:24 GMT 2024","Wed Dec 18 00:41:30 GMT 2024","5286","webkit","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Dec 18 00:53:36 GMT 2024","Wed Dec 18 00:53:51 GMT 2024","14772","webkit","","DNSSEC","","","TC_04_08 | Verify user can enable DNSSEC","To verify DNSSEC can be enabled"
"passed","Wed Dec 18 01:03:15 GMT 2024","Wed Dec 18 01:03:24 GMT 2024","9506","webkit","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Dec 18 01:09:34 GMT 2024","Wed Dec 18 01:09:42 GMT 2024","8664","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""q"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:00:27 GMT 2024","Wed Dec 18 01:00:42 GMT 2024","14839","webkit","","My profile","","","TC_08_03 | Verify user can see pre-defined contact on his Contacts page","To verify, that pre-defined contact is present on the Contacts page"
"passed","Wed Dec 18 01:03:39 GMT 2024","Wed Dec 18 01:03:48 GMT 2024","9711","webkit","","Unauthorized user","","","TC_09_03_02 | Verify that filters button has badge indicator when at least one filter is applied","Verify that filters button has badge indicator when at least one filter is applied"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_07 | Verify unauthorized users can submit the ""Contact Us"" form for ""Private Email"" Type",""
"passed","Wed Dec 18 01:09:10 GMT 2024","Wed Dec 18 01:09:22 GMT 2024","12230","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""o"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 01:14:52 GMT 2024","Wed Dec 18 01:15:07 GMT 2024","14887","webkit","","Report Abuse submission for each type of report","","","TC_09_07_07| Verify unauthorized user can submit the ""Report Abuse"" form for Pharmacy Complaint","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 01:09:42 GMT 2024","Wed Dec 18 01:09:53 GMT 2024","10518","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""r"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"skipped","Wed Dec 18 01:12:06 GMT 2024","Wed Dec 18 01:12:06 GMT 2024","0","webkit","","Contact Us","","","TC_09_06_12 | Verify unauthorized users can submit the ""Contact Us"" form for ""Media Inquiries"" Type",""
"passed","Wed Dec 18 00:50:51 GMT 2024","Wed Dec 18 00:51:07 GMT 2024","15931","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 01:07:53 GMT 2024","Wed Dec 18 01:08:06 GMT 2024","12898","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""h"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 00:53:52 GMT 2024","Wed Dec 18 00:54:05 GMT 2024","12637","webkit","","Blog","","","TC_06_06 |Verify Autocomplete Suggestions Displayed for Partial and Empty Search Input","Verify that user can see autocomplete suggestions that correspond to the entered letters in the Blog search, as well as previous search history when the search field is empty."
"passed","Wed Dec 18 01:13:38 GMT 2024","Wed Dec 18 01:13:53 GMT 2024","14654","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 00:52:01 GMT 2024","Wed Dec 18 00:52:18 GMT 2024","17268","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields TXT. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 01:05:49 GMT 2024","Wed Dec 18 01:05:57 GMT 2024","7787","webkit","","Unauthorized user","","","TC_09_04_03 | Verify unauthorised user is redirected to the Login Page by clicking on My transfers button on Transfer Page","Verify an unauthorized user is redirected to the Login Page by clicking on the My transfers button on Transfer Page"
"passed","Wed Dec 18 00:48:00 GMT 2024","Wed Dec 18 00:48:13 GMT 2024","12548","webkit","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button","Verify DNS Record with required fields"
"passed","Wed Dec 18 00:49:59 GMT 2024","Wed Dec 18 00:50:17 GMT 2024","17624","webkit","","DNS Records","","","TC_04_04 | ""Hosted zones - DNS Record - Create with all fields TXT","Verify DNS Record created with all fields."
