"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 03:54:15 GMT 2024","Wed Dec 18 03:54:30 GMT 2024","15278","webkit","","DNS Records","","","TC_04_06 | Verify user can edit DNS record in hosted zone","Verify user can edit DNS record in hosted zone."
"passed","Wed Dec 18 04:00:52 GMT 2024","Wed Dec 18 04:01:07 GMT 2024","15795","webkit","","My profile","","","TC_08_01 | Verify the Profile Dropdown Menu is displayed on ""My Profile"" Button Click","To verify the Profile Dropdown Menu on clicking ""My Profile"
"passed","Wed Dec 18 04:11:02 GMT 2024","Wed Dec 18 04:11:14 GMT 2024","11331","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""i"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:04:44 GMT 2024","Wed Dec 18 04:04:49 GMT 2024","5124","webkit","","Unauthorized user","","","TC_09_01_05|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Dec 18 04:13:09 GMT 2024","Wed Dec 18 04:13:17 GMT 2024","8006","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""v"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 04:04:23 GMT 2024","Wed Dec 18 04:04:28 GMT 2024","5031","webkit","","Unauthorized user","","","TC_09_01_02|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Dec 18 04:13:49 GMT 2024","Wed Dec 18 04:14:10 GMT 2024","20764","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""z"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 03:52:52 GMT 2024","Wed Dec 18 03:53:08 GMT 2024","16457","webkit","","DNS Records","","","TC_04_05 | ""Hosted zones - DNS Record - Create with required fields CNAME. Ignored optional fields","Verify DNS Record with required fields."
"passed","Wed Dec 18 04:15:17 GMT 2024","Wed Dec 18 04:15:31 GMT 2024","13844","webkit","","Report Abuse submission for each type of report","","","TC_09_07_02| Verify unauthorized user can submit the ""Report Abuse"" form for Malware, Botnets & Spam","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 03:44:22 GMT 2024","Wed Dec 18 03:44:29 GMT 2024","7757","webkit","","Registration","","","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality","TC_01_01_02 | Verify ""Create Password"" form elements and ""Back to Sign Up"" button functionality"
"passed","Wed Dec 18 04:03:46 GMT 2024","Wed Dec 18 04:04:05 GMT 2024","18578","webkit","","My profile","","","TC_08_05 | Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section","Verify the user is able to see a Wallet balance and Top-Up button options in the Billing section"
"passed","Wed Dec 18 03:46:27 GMT 2024","Wed Dec 18 03:46:36 GMT 2024","9005","webkit","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Dec 18 03:49:48 GMT 2024","Wed Dec 18 03:50:02 GMT 2024","13515","webkit","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Dec 18 04:01:38 GMT 2024","Wed Dec 18 04:01:51 GMT 2024","12623","webkit","","My profile","","","TC_08_02_04 | Verify user can change currency from EUR (€) to USD ($)","To verify that the user can change currency"
"passed","Wed Dec 18 04:15:31 GMT 2024","Wed Dec 18 04:15:47 GMT 2024","15425","webkit","","Report Abuse submission for each type of report","","","TC_09_07_03| Verify unauthorized user can submit the ""Report Abuse"" form for Phishing & Pharming","Verify unauthorized user can submit the ""Report Abuse"" form for each Abuse type by filling in required fields"
"passed","Wed Dec 18 03:56:06 GMT 2024","Wed Dec 18 03:56:17 GMT 2024","11361","webkit","","Blog","","","TC_06_02 | Verify Search Results and Search Field Behaviors","Verify Search Results and Search Field Behaviors with relevant request"
"passed","Wed Dec 18 04:09:55 GMT 2024","Wed Dec 18 04:10:06 GMT 2024","10707","webkit","","Unauthorized user","","","TC_09_03_04 | Verify switch to ""c"" categories  and select/clear all TLDs , if this the list of the category is not empty","Verify that user can switch between categories, select all TLDs in the category and clear all TLDs"
"passed","Wed Dec 18 03:59:32 GMT 2024","Wed Dec 18 04:00:23 GMT 2024","50957","webkit","","Help Center","","","TC_07_01_06 | Verify the user can switch between headings in the selected article","Verify that relevant articles are displayed."
"passed","Wed Dec 18 03:47:48 GMT 2024","Wed Dec 18 03:48:03 GMT 2024","15025","webkit","","Navigation","","","TC_03_01_06 |  Verify that user can navigate through Header links SSL certificates","To verify that user can navigate through Header links."
"passed","Wed Dec 18 03:56:17 GMT 2024","Wed Dec 18 03:56:37 GMT 2024","19637","webkit","","Blog","","","TC_06_05 | Verify sidebar presence and header position on the blog page when switching between headings in the selected article","Verify that user can see autocomplete suggestions correspond to the entered letters in Blog"
