"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 19:55:30 GMT 2024","Mon Oct 28 19:55:35 GMT 2024","4707","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"skipped","Mon Oct 28 19:55:39 GMT 2024","Mon Oct 28 19:55:39 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Mon Oct 28 19:55:52 GMT 2024","Mon Oct 28 19:55:54 GMT 2024","2018","chromium","","Non authorized user","","","TC_09_01| Verify that HelpCenter page is accessible for non authorized user","Verify that HelpCenter page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:39 GMT 2024","Mon Oct 28 19:55:42 GMT 2024","2651","chromium","","Non authorized user","","","TC_09_01| Verify that Transfer page is accessible for non authorized user","Verify that Transfer page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:22 GMT 2024","Mon Oct 28 19:55:25 GMT 2024","2440","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Mon Oct 28 19:55:35 GMT 2024","Mon Oct 28 19:55:39 GMT 2024","4592","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Mon Oct 28 19:55:25 GMT 2024","Mon Oct 28 19:55:28 GMT 2024","2644","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Mon Oct 28 19:55:28 GMT 2024","Mon Oct 28 19:55:30 GMT 2024","2554","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Mon Oct 28 19:55:56 GMT 2024","Mon Oct 28 19:55:59 GMT 2024","2671","chromium","","Non authorized user","","","TC_09_01| Verify that ContactUs page is accessible for non authorized user","Verify that ContactUs page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:44 GMT 2024","Mon Oct 28 19:55:47 GMT 2024","2568","chromium","","Non authorized user","","","TC_09_01| Verify that WhoIs page is accessible for non authorized user","Verify that WhoIs page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:49 GMT 2024","Mon Oct 28 19:55:52 GMT 2024","2425","chromium","","Non authorized user","","","TC_09_01| Verify that Blog page is accessible for non authorized user","Verify that Blog page is accessible for non authorized user"
"skipped","Mon Oct 28 19:55:39 GMT 2024","Mon Oct 28 19:55:39 GMT 2024","0","chromium","","Domains","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Mon Oct 28 19:55:42 GMT 2024","Mon Oct 28 19:55:44 GMT 2024","2189","chromium","","Non authorized user","","","TC_09_01| Verify that HomePage page is accessible for non authorized user","Verify that HomePage page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:18 GMT 2024","Mon Oct 28 19:55:22 GMT 2024","3303","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Mon Oct 28 19:55:54 GMT 2024","Mon Oct 28 19:55:56 GMT 2024","2423","chromium","","Non authorized user","","","TC_09_01| Verify that ReportAbuse page is accessible for non authorized user","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Mon Oct 28 19:55:47 GMT 2024","Mon Oct 28 19:55:49 GMT 2024","2486","chromium","","Non authorized user","","","TC_09_01| Verify that SSLCertificates page is accessible for non authorized user","Verify that SSLCertificates page is accessible for non authorized user"
"skipped","Mon Oct 28 19:55:39 GMT 2024","Mon Oct 28 19:55:39 GMT 2024","0","chromium","","Domains","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
