"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 07:36:45 GMT 2024","Wed Oct 30 07:36:50 GMT 2024","4786","chromium","","My profile","","","TC_08_06 | Verify the user can change currency USD (EUR) in the Profile Menu","To verify, that the user can change currency USD (EUR) in the Profile Menu"
"passed","Wed Oct 30 07:36:55 GMT 2024","Wed Oct 30 07:36:58 GMT 2024","3177","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Oct 30 07:36:40 GMT 2024","Wed Oct 30 07:36:45 GMT 2024","5365","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 07:36:58 GMT 2024","Wed Oct 30 07:37:01 GMT 2024","2777","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Oct 30 07:36:21 GMT 2024","Wed Oct 30 07:36:24 GMT 2024","2773","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 07:36:19 GMT 2024","Wed Oct 30 07:36:21 GMT 2024","2107","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 07:36:24 GMT 2024","Wed Oct 30 07:36:29 GMT 2024","5178","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Oct 30 07:36:16 GMT 2024","Wed Oct 30 07:36:19 GMT 2024","2744","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 07:37:04 GMT 2024","Wed Oct 30 07:37:06 GMT 2024","2690","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Oct 30 07:36:33 GMT 2024","Wed Oct 30 07:36:40 GMT 2024","6715","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"skipped","Wed Oct 30 07:36:45 GMT 2024","Wed Oct 30 07:36:45 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"skipped","Wed Oct 30 07:36:33 GMT 2024","Wed Oct 30 07:36:33 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Wed Oct 30 07:36:50 GMT 2024","Wed Oct 30 07:36:53 GMT 2024","2678","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Oct 30 07:36:13 GMT 2024","Wed Oct 30 07:36:16 GMT 2024","3150","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Oct 30 07:37:01 GMT 2024","Wed Oct 30 07:37:04 GMT 2024","2513","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Oct 30 07:37:06 GMT 2024","Wed Oct 30 07:37:09 GMT 2024","2825","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"skipped","Wed Oct 30 07:36:33 GMT 2024","Wed Oct 30 07:36:33 GMT 2024","0","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Wed Oct 30 07:36:53 GMT 2024","Wed Oct 30 07:36:55 GMT 2024","2491","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Oct 30 07:37:09 GMT 2024","Wed Oct 30 07:37:12 GMT 2024","2780","chromium","","Non authorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Oct 30 07:36:29 GMT 2024","Wed Oct 30 07:36:33 GMT 2024","4333","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
