"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 30 18:14:56 GMT 2024","Wed Oct 30 18:14:56 GMT 2024","0","chromium","","DNS Records","","","TC_04_02 | Verify search by hosted zone name.",""
"passed","Wed Oct 30 18:14:43 GMT 2024","Wed Oct 30 18:14:46 GMT 2024","2667","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 18:15:19 GMT 2024","Wed Oct 30 18:15:21 GMT 2024","2317","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Oct 30 18:15:28 GMT 2024","Wed Oct 30 18:15:32 GMT 2024","3980","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Oct 30 18:14:40 GMT 2024","Wed Oct 30 18:14:43 GMT 2024","2784","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 18:14:48 GMT 2024","Wed Oct 30 18:14:52 GMT 2024","4160","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Oct 30 18:15:23 GMT 2024","Wed Oct 30 18:15:26 GMT 2024","2518","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Oct 30 18:15:26 GMT 2024","Wed Oct 30 18:15:28 GMT 2024","2267","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Oct 30 18:15:16 GMT 2024","Wed Oct 30 18:15:19 GMT 2024","2545","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Wed Oct 30 18:15:11 GMT 2024","Wed Oct 30 18:15:14 GMT 2024","2516","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"skipped","Wed Oct 30 18:14:56 GMT 2024","Wed Oct 30 18:14:56 GMT 2024","1","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"skipped","Wed Oct 30 18:15:09 GMT 2024","Wed Oct 30 18:15:09 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Oct 30 18:15:09 GMT 2024","Wed Oct 30 18:15:11 GMT 2024","2283","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Oct 30 18:14:37 GMT 2024","Wed Oct 30 18:14:40 GMT 2024","2962","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Oct 30 18:15:21 GMT 2024","Wed Oct 30 18:15:23 GMT 2024","2376","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Wed Oct 30 18:15:32 GMT 2024","Wed Oct 30 18:15:36 GMT 2024","4044","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Oct 30 18:15:14 GMT 2024","Wed Oct 30 18:15:16 GMT 2024","2412","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Oct 30 18:14:56 GMT 2024","Wed Oct 30 18:15:04 GMT 2024","8298","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Oct 30 18:15:04 GMT 2024","Wed Oct 30 18:15:09 GMT 2024","4273","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 18:14:52 GMT 2024","Wed Oct 30 18:14:56 GMT 2024","4040","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Oct 30 18:14:46 GMT 2024","Wed Oct 30 18:14:48 GMT 2024","2410","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
