"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 30 21:16:15 GMT 2024","Wed Oct 30 21:16:20 GMT 2024","5405","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"passed","Wed Oct 30 21:16:02 GMT 2024","Wed Oct 30 21:16:06 GMT 2024","3311","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Wed Oct 30 21:18:30 GMT 2024","Wed Oct 30 21:18:32 GMT 2024","2378","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Wed Oct 30 21:18:44 GMT 2024","Wed Oct 30 21:18:49 GMT 2024","4310","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Wed Oct 30 21:18:20 GMT 2024","Wed Oct 30 21:18:23 GMT 2024","2881","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Wed Oct 30 21:16:25 GMT 2024","Wed Oct 30 21:16:34 GMT 2024","9394","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Wed Oct 30 21:18:23 GMT 2024","Wed Oct 30 21:18:26 GMT 2024","3062","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"passed","Wed Oct 30 21:16:09 GMT 2024","Wed Oct 30 21:16:12 GMT 2024","2923","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Wed Oct 30 21:16:20 GMT 2024","Wed Oct 30 21:16:25 GMT 2024","4729","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Wed Oct 30 21:18:26 GMT 2024","Wed Oct 30 21:18:30 GMT 2024","3249","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"skipped","Wed Oct 30 21:18:17 GMT 2024","Wed Oct 30 21:18:17 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Wed Oct 30 21:18:17 GMT 2024","Wed Oct 30 21:18:20 GMT 2024","3210","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Wed Oct 30 21:18:37 GMT 2024","Wed Oct 30 21:18:40 GMT 2024","2676","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Wed Oct 30 21:18:32 GMT 2024","Wed Oct 30 21:18:35 GMT 2024","2629","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"skipped","Wed Oct 30 21:16:25 GMT 2024","Wed Oct 30 21:16:25 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
"passed","Wed Oct 30 21:18:40 GMT 2024","Wed Oct 30 21:18:44 GMT 2024","4361","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Wed Oct 30 21:16:34 GMT 2024","Wed Oct 30 21:16:40 GMT 2024","5224","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Wed Oct 30 21:16:06 GMT 2024","Wed Oct 30 21:16:09 GMT 2024","3091","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"broken","Wed Oct 30 21:17:45 GMT 2024","Wed Oct 30 21:18:16 GMT 2024","31137","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Wed Oct 30 21:18:35 GMT 2024","Wed Oct 30 21:18:37 GMT 2024","2668","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Wed Oct 30 21:16:12 GMT 2024","Wed Oct 30 21:16:15 GMT 2024","2826","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
