"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 31 00:16:00 GMT 2024","Thu Oct 31 00:16:00 GMT 2024","0","chromium","","My profile","","","TC_08_02_02 | Verify user can change Password when 2FA is disabled",""
"passed","Thu Oct 31 00:16:10 GMT 2024","Thu Oct 31 00:16:12 GMT 2024","2303","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Blog page","Verify that Blog page is accessible for non authorized user"
"passed","Thu Oct 31 00:13:55 GMT 2024","Thu Oct 31 00:14:00 GMT 2024","4292","chromium","","Authorization","","","TC_02_01 | Verify login with invalid credentials.","To verify user is not able to login with empty and invalid credentials."
"passed","Thu Oct 31 00:13:51 GMT 2024","Thu Oct 31 00:13:55 GMT 2024","4519","chromium","","Authorization","","","TC_02_02 |  Verify user can login into their account without 2FA.","To verify user login process without 2FA."
"broken","Thu Oct 31 00:15:04 GMT 2024","Thu Oct 31 00:15:35 GMT 2024","31193","chromium","","Authorization","","","TC_02_04 | Account Deletion Without 2FA","To verify user can delete account without 2FA"
"passed","Thu Oct 31 00:16:03 GMT 2024","Thu Oct 31 00:16:05 GMT 2024","2531","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HomePage page","Verify that HomePage page is accessible for non authorized user"
"passed","Thu Oct 31 00:15:36 GMT 2024","Thu Oct 31 00:15:42 GMT 2024","6991","chromium","","Search domains","","","TC_04_09_01 | Verify user can search the registered domain","To verify, that user is able to search the registered domain in WhoIs"
"passed","Thu Oct 31 00:16:12 GMT 2024","Thu Oct 31 00:16:15 GMT 2024","2311","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  HelpCenter page","Verify that HelpCenter page is accessible for non authorized user"
"passed","Thu Oct 31 00:16:20 GMT 2024","Thu Oct 31 00:16:25 GMT 2024","5033","chromium","","Unauthorized user","","","TC_09_02_01|  Verify unauthorized user can search available domains (no filters)","Verify that unauthorized user can search available domains (no filters)"
"passed","Thu Oct 31 00:13:49 GMT 2024","Thu Oct 31 00:13:51 GMT 2024","2179","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: domain less than 2 characters","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 00:13:43 GMT 2024","Thu Oct 31 00:13:46 GMT 2024","2446","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without @","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 00:13:40 GMT 2024","Thu Oct 31 00:13:43 GMT 2024","2746","chromium","","Registration","","","TC_01_02_01 | Verify user is not able to sign up with an existing email","Verify that registration fails when an existing email is used"
"passed","Thu Oct 31 00:15:43 GMT 2024","Thu Oct 31 00:15:47 GMT 2024","4437","chromium","","Search domains","","","TC_04_09_02 | Verify user can search the non-registered domain in Whois page","To verify that user is able to search the non-registered domain in WhoIs"
"passed","Thu Oct 31 00:15:47 GMT 2024","Thu Oct 31 00:15:59 GMT 2024","11786","chromium","","Search Hosted Zones","","","TC_04_02 | Verify search by hosted zone name","To verify, that user is able to search a hosted zone by name"
"passed","Thu Oct 31 00:16:25 GMT 2024","Thu Oct 31 00:16:28 GMT 2024","3255","chromium","","Unauthorized user","","","TC_09_02_02|  Verify unauthorized user can search occupied domains (no filters)","Verify that unauthorized user can search occupied domains (no filters)"
"passed","Thu Oct 31 00:16:00 GMT 2024","Thu Oct 31 00:16:03 GMT 2024","2466","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  Transfer page","Verify that Transfer page is accessible for non authorized user"
"passed","Thu Oct 31 00:16:15 GMT 2024","Thu Oct 31 00:16:17 GMT 2024","2211","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ReportAbuse page","Verify that ReportAbuse page is accessible for non authorized user"
"passed","Thu Oct 31 00:13:46 GMT 2024","Thu Oct 31 00:13:49 GMT 2024","2885","chromium","","Registration","","","TC_01_02_02 | Verify user is not able to sign up with an invalid email: without domain","Verify that registration fails when an invalid email is used"
"passed","Thu Oct 31 00:16:17 GMT 2024","Thu Oct 31 00:16:20 GMT 2024","2521","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  ContactUs page","Verify that ContactUs page is accessible for non authorized user"
"passed","Thu Oct 31 00:16:08 GMT 2024","Thu Oct 31 00:16:10 GMT 2024","2444","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  SSLCertificates page","Verify that SSLCertificates page is accessible for non authorized user"
"passed","Thu Oct 31 00:16:05 GMT 2024","Thu Oct 31 00:16:08 GMT 2024","2533","chromium","","Unauthorized user","","","TC_09_01|  Verify that non authorized user can navigate through  WhoIs page","Verify that WhoIs page is accessible for non authorized user"
"skipped","Thu Oct 31 00:15:35 GMT 2024","Thu Oct 31 00:15:35 GMT 2024","0","chromium","","DNS Records","","","TC_04_10 | ""Add new DNS-record"" modal was closed by Cancel or by X button",""
